,Significance,Num. samples @ signif,F1 (withdrawn) @ signif,AP withdrawn @ signif,AP approved @ signif,AUROC withdrawn @ signif,Balanced accuracy @ signif,Precision withdrawn @ signif,Recall withdrawn @ signif,Precision approved @ signif,Recall approved @ signif,True positives @ signif,True negatives @ signif,False positives @ signif,False negatives @ signif
0,1.0,394,0.27692307692307694,0.30199884954538436,0.8167146935040299,0.7361984384716369,0.5885096386374629,0.375,0.21951219512195122,0.9135135135135135,0.9575070821529745,9,338,15,32
1,0.95,389,0.27692307692307694,0.30199884954538436,0.8155840597622843,0.732408186150827,0.5882043734230445,0.375,0.21951219512195122,0.9123287671232877,0.9568965517241379,9,333,15,32
2,0.9,365,0.28125000000000006,0.3068655747107205,0.8100940858831573,0.7325384615384616,0.5894230769230769,0.375,0.225,0.9090909090909091,0.9538461538461539,9,310,15,31
3,0.85,329,0.2857142857142857,0.3117856177894948,0.8009213411794406,0.7193633952254641,0.5895225464190982,0.375,0.23076923076923078,0.9016393442622951,0.9482758620689655,9,275,15,30
4,0.8,297,0.2903225806451613,0.3155252996477323,0.7928393033360567,0.6972160130054867,0.58946352367405,0.375,0.23684210526315788,0.8937728937728938,0.9420849420849421,9,244,15,29
5,0.75,266,0.2950819672131148,0.32114534778120896,0.7824826498152924,0.6818128171839962,0.5888705299185648,0.375,0.24324324324324326,0.8842975206611571,0.9344978165938864,9,214,15,28
6,0.7,229,0.30508474576271183,0.33136280287041897,0.7691846067861899,0.6673048600883652,0.5899116347569956,0.375,0.2571428571428571,0.8731707317073171,0.9226804123711341,9,179,15,26
7,0.6499999999999999,190,0.3157894736842105,0.3417917532321404,0.7526878281952991,0.6340474811812391,0.5885929357266937,0.375,0.2727272727272727,0.8554216867469879,0.9044585987261147,9,142,15,24
8,0.6,159,0.3272727272727273,0.35446495775782394,0.7355444475907036,0.6091229838709677,0.5865675403225806,0.375,0.2903225806451613,0.837037037037037,0.8828125,9,113,15,22
9,0.55,128,0.375,0.3911229362972443,0.7266076128382882,0.6622596153846154,0.6153846153846154,0.375,0.375,0.8557692307692307,0.8557692307692307,9,89,15,15
10,0.5,103,0.4186046511627907,0.4390168892888289,0.7102019078250885,0.7355889724310777,0.6475563909774436,0.375,0.47368421052631576,0.8734177215189873,0.8214285714285714,9,69,15,10
11,0.44999999999999996,75,0.4390243902439025,0.4670396722729445,0.6701423028572918,0.7200811359026369,0.635395537525355,0.375,0.5294117647058824,0.8431372549019608,0.7413793103448276,9,43,15,8
12,0.3999999999999999,60,0.4615384615384615,0.48444685317149816,0.653017486549065,0.6933333333333334,0.6333333333333333,0.375,0.6,0.8333333333333334,0.6666666666666666,9,30,15,6
13,0.35,40,0.4736842105263159,0.5097617810565086,0.5987635818310209,0.5824175824175825,0.532967032967033,0.375,0.6428571428571429,0.6875,0.4230769230769231,9,11,15,5
14,0.29999999999999993,29,0.5142857142857143,0.5482137695905812,0.5649173072768737,0.5245098039215687,0.4632352941176471,0.391304347826087,0.75,0.5,0.17647058823529413,9,3,14,3
15,0.25,17,0.6399999999999999,0.6350597931480284,0.5144640852974186,0.5555555555555556,0.5,0.47058823529411764,1.0,0.0,0.0,8,0,9,0
16,0.19999999999999996,10,0.6666666666666666,0.7142857142857142,0.49777777777777776,0.56,0.5,0.5,1.0,0.0,0.0,5,0,5,0
