,Significance,Num. samples @ signif,F1 (withdrawn) @ signif,AP withdrawn @ signif,AP approved @ signif,AUROC withdrawn @ signif,Balanced accuracy @ signif,Precision withdrawn @ signif,Recall withdrawn @ signif,Precision approved @ signif,Recall approved @ signif,True positives @ signif,True negatives @ signif,False positives @ signif,False negatives @ signif
0,1.0,395,0.3170731707317073,0.3069253163995876,0.8158734536628158,0.7549951770704147,0.6189885627669836,0.3170731707317073,0.3170731707317073,0.9209039548022598,0.9209039548022598,13,326,28,28
1,0.95,379,0.3170731707317073,0.3069253163995876,0.8121667025490162,0.743397315629961,0.6171164670226584,0.3170731707317073,0.3170731707317073,0.9171597633136095,0.9171597633136095,13,310,28,28
2,0.9,350,0.3170731707317073,0.3070180260498193,0.8049948691624019,0.7201831241613387,0.6132291420001579,0.3170731707317073,0.3170731707317073,0.9093851132686084,0.9093851132686084,13,281,28,28
3,0.85,313,0.32499999999999996,0.31606637623150713,0.7958978968262991,0.7190716825753323,0.6155717761557178,0.3170731707317073,0.3333333333333333,0.9044117647058824,0.8978102189781022,13,246,28,26
4,0.8,267,0.32499999999999996,0.3161758597537696,0.7817589170461458,0.6631803868645975,0.6052631578947368,0.3170731707317073,0.3333333333333333,0.8849557522123894,0.8771929824561403,13,200,28,26
5,0.75,235,0.32911392405063294,0.3205989098792187,0.7713518464056972,0.6295752070531659,0.5999866417312316,0.3170731707317073,0.34210526315789475,0.8711340206185567,0.8578680203045685,13,169,28,25
6,0.7,205,0.34210526315789475,0.3329883170335644,0.7620362397137324,0.6213445378151261,0.6033613445378152,0.3170731707317073,0.37142857142857144,0.8658536585365854,0.8352941176470589,13,142,28,22
7,0.6499999999999999,168,0.3611111111111111,0.3537784824848197,0.7463231637156884,0.6202024958794443,0.607487638332941,0.3170731707317073,0.41935483870967744,0.8582677165354331,0.7956204379562044,13,109,28,18
8,0.6,145,0.37142857142857144,0.36647728701063353,0.7332371743781139,0.6073127229488704,0.603448275862069,0.3170731707317073,0.4482758620689655,0.8461538461538461,0.7586206896551724,13,88,28,16
9,0.55,112,0.41269841269841273,0.4149005084548917,0.7170371821570001,0.6707070707070707,0.63989898989899,0.3170731707317073,0.5909090909090909,0.8732394366197183,0.6888888888888889,13,62,28,9
10,0.5,85,0.42622950819672134,0.4348842120806418,0.6898270675456222,0.6192307692307693,0.6096153846153847,0.3170731707317073,0.65,0.8409090909090909,0.5692307692307692,13,37,28,7
11,0.44999999999999996,73,0.44067796610169496,0.45579005721835464,0.6770552353989072,0.6202020202020202,0.6065656565656565,0.3170731707317073,0.7222222222222222,0.84375,0.4909090909090909,13,27,28,5
12,0.3999999999999999,61,0.4482758620689655,0.4701315314662757,0.6580425038893943,0.5775401069518716,0.5641711229946524,0.3170731707317073,0.7647058823529411,0.8,0.36363636363636365,13,16,28,4
13,0.35,42,0.4799999999999999,0.5449669218090271,0.6293606723714029,0.6305555555555555,0.5666666666666667,0.3157894736842105,1.0,1.0,0.13333333333333333,12,4,26,0
14,0.29999999999999993,31,0.4878048780487805,0.5929096935888107,0.5968712865136712,0.6142857142857143,0.5,0.3225806451612903,1.0,0.0,0.0,10,0,21,0
15,0.25,18,0.6153846153846153,0.681671626984127,0.5049135505017858,0.5875,0.5,0.4444444444444444,1.0,0.0,0.0,8,0,10,0
16,0.19999999999999996,12,0.6666666666666666,0.7694805194805194,0.450925925925926,0.6388888888888888,0.5,0.5,1.0,0.0,0.0,6,0,6,0
