,Significance,Num. samples @ signif,F1 (withdrawn) @ signif,AP withdrawn @ signif,AP approved @ signif,AUROC withdrawn @ signif,Balanced accuracy @ signif,Precision withdrawn @ signif,Recall withdrawn @ signif,Precision approved @ signif,Recall approved @ signif,True positives @ signif,True negatives @ signif,False positives @ signif,False negatives @ signif
0,1.0,395,0.2564102564102564,0.2825500770161841,0.8170054359130949,0.7698773597905472,0.5838156262918561,0.2702702702702703,0.24390243902439024,0.9134078212290503,0.923728813559322,10,327,27,31
1,0.95,382,0.2564102564102564,0.2825500770161841,0.8140475983866151,0.7611043559115943,0.5823617766969458,0.2702702702702703,0.24390243902439024,0.9101449275362319,0.9208211143695014,10,314,27,31
2,0.9,359,0.25974025974025977,0.28680099231599643,0.8088093796663663,0.7634796238244514,0.582680250783699,0.2702702702702703,0.25,0.906832298136646,0.9153605015673981,10,292,27,30
3,0.85,312,0.25974025974025977,0.28700450513765674,0.7962007323789797,0.7239889705882353,0.5753676470588236,0.2702702702702703,0.25,0.8909090909090909,0.9007352941176471,10,245,27,30
4,0.8,273,0.26666666666666666,0.2946166585245733,0.785492513039642,0.7167973124300112,0.5741321388577827,0.2702702702702703,0.2631578947368421,0.8813559322033898,0.8851063829787233,10,208,27,28
5,0.75,231,0.273972602739726,0.30218304699372533,0.7721199458542107,0.6970085470085471,0.5696581196581196,0.2702702702702703,0.2777777777777778,0.865979381443299,0.8615384615384616,10,168,27,26
6,0.7,197,0.28169014084507044,0.30845458174618556,0.7609205036451661,0.6719595813785637,0.5642367376398412,0.2702702702702703,0.29411764705882354,0.85,0.8343558282208589,10,136,27,24
7,0.6499999999999999,162,0.30303030303030304,0.32662219176414303,0.7504982241496532,0.6922478610318901,0.570910033704952,0.2702702702702703,0.3448275862068966,0.848,0.7969924812030075,10,106,27,19
8,0.6,132,0.3076923076923077,0.33082743368033085,0.7354635264047069,0.6294642857142857,0.5487637362637363,0.2702702702702703,0.35714285714285715,0.8105263157894737,0.7403846153846154,10,77,27,18
9,0.55,109,0.31746031746031744,0.3382172659857723,0.7256754146931786,0.582947173308619,0.5296570898980537,0.2702702702702703,0.38461538461538464,0.7777777777777778,0.6746987951807228,10,56,27,16
10,0.5,85,0.33898305084745767,0.35067749163313905,0.7199765975263845,0.5447330447330447,0.512987012987013,0.2702702702702703,0.45454545454545453,0.75,0.5714285714285714,10,36,27,12
11,0.44999999999999996,66,0.35714285714285715,0.362363170349575,0.7167005646541282,0.477043673012318,0.47592385218365063,0.2702702702702703,0.5263157894736842,0.6896551724137931,0.425531914893617,10,20,27,9
12,0.3999999999999999,55,0.3846153846153846,0.3754515742741471,0.7222173002859285,0.47833333333333333,0.49583333333333335,0.2702702702702703,0.6666666666666666,0.7222222222222222,0.325,10,13,27,5
13,0.35,37,0.39999999999999997,0.4168618051118512,0.7111323743001766,0.42307692307692313,0.42832167832167833,0.2647058823529412,0.8181818181818182,0.3333333333333333,0.038461538461538464,9,1,25,2
14,0.29999999999999993,26,0.375,0.5302777777777777,0.7056111727521068,0.5833333333333333,0.5,0.23076923076923078,1.0,0.0,0.0,6,0,20,0
15,0.25,14,0.4444444444444445,0.6833333333333333,0.6273909423909424,0.7,0.5,0.2857142857142857,1.0,0.0,0.0,4,0,10,0
16,0.19999999999999996,10,0.4615384615384615,0.7777777777777777,0.6091836734693877,0.7142857142857143,0.5,0.3,1.0,0.0,0.0,3,0,7,0
