,index,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn,standardized_smiles,scaffolds
1187,6208,CHEMBL1200570,8567,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,Safe,0,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,CC(C)C1CCCC(C(C)C)C1CCCC(C)(C)C
149,1160,CHEMBL1650,5745,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,Safe,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C,CC(C)CCC(C)C1(C)CCC2C3CCC4CC(C)CCC4(C)C3C(C)CC21C
1735,8619,CHEMBL1418176,6300,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,Safe,1,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CC1CCC2(C)C(CCC3C2CCC2(C)C3CCC2(C)C)C1
2141,10571,CHEMBL282468,6209,C[N+](C)(C)CCO.[Cl-],C[N+](C)(C)CCO.[Cl-],Safe,0,C[N+](C)(C)CCO.[Cl-],CCCC(C)CCC1CCCCC1C(C)C(C)CC(C)C1CCC(CC(C)(C(C)C2CCC(C3CCC(CC)CC3)C2)C2CC(C)CCC2C)C1
665,3612,CHEMBL1425,4071,Sc1ncnc2nc[nH]c12,Sc1ncnc2nc[nH]c12,Safe,0,Sc1ncnc2nc[nH]c12,CC1CCCC2CCCC12
144,1126,CHEMBL315985,9881504,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,Safe,0,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,CC(C)C1C2CCCCC2CC(C)C2CCCCC21
935,4944,CHEMBL680,51039,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,Safe,0,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,CC(C)C1C(C)CCC2C(CC(C)C(C)C3CCCCC3)C(C)C21
377,2182,CHEMBL644,5584,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,toxic_psyche,0,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,CC(C)CC(C)CC1C2CCCCC2CCC2CCCCC21
1705,8471,CHEMBL863,5862,N[C@@H](CS)C(=O)O,N[C@@H](CS)C(=O)O,Safe,0,N[C@@H](CS)C(=O)O,CCC(C)C(C)C
1518,7714,CHEMBL505,2725,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,Safe,0,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CC(C)CCC(C1CCCCC1)C1CCC(C)CC1
559,3126,CHEMBL885,60877,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,toxic_hepa,0,Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F,CCC1CCC(C2CC(C)C(C)CC2C)C1
1937,9591,CHEMBL1161681,24529,O=NO,O=NO,toxic_hema+toxic_vascular,0,O=NO,CCC
461,2624,CHEMBL3833409,159347,O=C([O-])[O-].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-],O=C([O-])[O-].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-],Safe,0,O=C([O-])[O-].[Al+3].[Al+3].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[Mg+2].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[OH-],CC1CCC(C(C)CC2CCCCC2)C(C)C1
746,3994,CHEMBL1242,missing,Nc1ccc(/N=N/c2ccccc2)c(N)n1,Nc1ccc(/N=N/c2ccccc2)c(N)n1,Safe,0,Nc1ccc(/N=N/c2ccccc2)c(N)n1,CC1CCC(CCC2CCCCC2)C(C)C1
