chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,orginal_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,sum,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds
CHEMBL1742423,DB11591,C(C(c1ccc(cc1)CCN2CCC(c3nc4c(n3CCOCC)cccc4)CC2)(C)C)(=O)O,C(C(c1ccc(cc1)CCN2CCC(c3nc4c(n3CCOCC)cccc4)CC2)(C)C)(=O)O,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,463.62399,0,,yes,yes,0,0,,AD,0,0,0,0,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,CCCCCC1C2CCCCC2CC1C1CCC(CCC2CCC(C(C)(C)C(C)C)CC2)CC1
CHEMBL2104979,DB12821,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(F)F,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,238.0284,0,,yes,yes,0,,,AD,0,0,0,0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)(C)C(C)(C)C(C)(C)C(C)(C)C
CHEMBL1242,DB01438,N(=N/c1ccccc1)\c2c(nc(cc2)N)N,N(=Nc1ccccc1)c2c(nc(cc2)N)N,Nc1ccc(/N=N/c2ccccc2)c(N)n1,213.24327,0,,yes,yes,0,0,,AD,0,0,0,0,Nc1ccc(N=Nc2ccccc2)c(N)n1,CC1CCC(CCC2CCCCC2)C(C)C1
CHEMBL1697837,DB08968,C(=O)(c1ccccc1)Nc2c(c(Cl)ccc2)CN(CC(=O)N3CCOCC3)C,C(=O)(c1ccccc1)Nc2c(c(Cl)ccc2)CN(CC(=O)N3CCOCC3)C,CN(CC(=O)N1CCOCC1)CC1=C(Cl)C=CC=C1NC(=O)C1=CC=CC=C1,401.89568,0,,yes,yes,1,,1,WD,2,1,1,0,CN(CC(=O)N1CCOCC1)Cc1c(Cl)cccc1NC(=O)c1ccccc1,CC(CC(C)C1CCCCC1)CC1C(C)CCCC1CC(C)C1CCCCC1
CHEMBL1200932,DB08947,C(=O)(c1c(I)c(C(=O)NC(CO)CO)c(I)c(c1I)NC(=O)[C@@H](O)C)NC(CO)CO,C(=O)(c1c(I)c(C(=O)NC(CO)CO)c(I)c(c1I)NC(=O)C(O)C)NC(CO)CO,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,777.09134,3,Hb; Mw; NO,yes,yes,0,0,,AD,0,0,0,0,CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,CCC(CC)CC(C)C1C(C)C(CC(C)C(C)C)C(C)C(C(C)CC(CC)CC)C1C
CHEMBL1328,DB00183,C(=O)(OC(C)(C)C)NCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)Cc1ccccc1)CC(=O)O)CCSC)Cc2c3c(cccc3)[nH]c2,C(=O)(OC(C)(C)C)NCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N)Cc1ccccc1)CC(=O)O)CCSC)Cc2c3c(cccc3)[nH]c2,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,767.90673,3,Hb; Mw; NO,yes,yes,0,0,,AD,0,0,0,0,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,CCCCC(CC(C)C(CC(C)CCCC(C)CC(C)(C)C)CC1CCC2CCCCC21)C(C)CC(CC(C)C)C(C)CC(CC1CCCCC1)C(C)C
CHEMBL1743259,DB09194,O=C1N(C(=NN1CCCN2CCN(c3cc(Cl)ccc3)CC2)CC)CC,O=C1N(C(=NN1CCCN2CCN(c3cc(Cl)ccc3)CC2)CC)CC,CCN1C(=O)N(CCCN2CCN(CC2)C2=CC=CC(Cl)=C2)N=C1CC,377.91996,0,,yes,yes,1,,,DISCONT,0,0,0,0,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,CCC1CC(CCCC2CCC(C3CCCC(C)C3)CC2)C(C)C1CC
CHEMBL902,DB00927,C(=NS(=O)(=O)N)(CCSCc1nc(N=C(N)N)sc1)N,C(=NS(=O)(=O)N)(CCSCc1nc(N=C(N)N)sc1)N,NC(N)=Nc1nc(CSCC/C(N)=N/S(N)(=O)=O)cs1,337.44605,1,Hb,yes,yes,0,0,,AD,0,0,0,0,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,CC(C)CC1CCC(CCCCC(C)CC(C)(C)C)C1
CHEMBL2106915,,O(c1c(OC)cc2c(c1)C(N(CC2)C)CCc3ccc(Cl)cc3)C,O(c1c(OC)cc2c(c1)C(N(CC2)C)CCc3ccc(Cl)cc3)C,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,345.87178,0,,no,yes,,1,1,WD,2,1,1,0,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,CCC1CC2CCC(C)C(CCC3CCC(C)CC3)C2CC1CC
CHEMBL3182813,DB14193,C(N(CC)CC)(=S)[S-],C(N(CC)CC)(=S)[S-],[Zn++].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,148.2699,0,,yes,yes,0,,,AD,0,0,0,0,CCN(CC)C(=S)S,CCC(CC)C(C)C
CHEMBL45029,DB00849,O=C1C(C(=O)NC(=O)N1C)(c2ccccc2)CC,O=C1C(C(=O)NC(=O)N1C)(c2ccccc2)CC,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,246.26748,0,,yes,yes,0,0,,AD,0,0,0,0,CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O,CCC1(C2CCCCC2)C(C)CC(C)C(C)C1C
CHEMBL1201039,DB00562,O=S(=O)(c1c(Cl)cc2c(S(=O)(=O)NC(=N2)CSCc3ccccc3)c1)N,O=S(=O)(c1c(Cl)cc2c(S(=O)(=O)NC(=N2)CSCc3ccccc3)c1)N,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,431.94078,0,,yes,yes,0,0,,AD,0,0,0,0,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,CC1CC2CC(CCCC3CCCCC3)CC(C)(C)C2CC1C(C)(C)C
