,index,chembl_id,Phase,Smiles,market,standardized_smiles,scaffolds
5302,5302,CHEMBL3707377,4,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,1,C=C1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,CC(C)CC1(C(C)C)C(C)CC2C3CCC4CC(C)CCC4C3CCC21C
850,850,CHEMBL374975,4,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,1,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O,CC(C)CCCC(C(C)C)C1C(CC(C)C)CC2(C)C1CC(C)C1C3(C)CCC(C)C(C)C3CCC12C
8944,8944,CHEMBL2110940,0,O=[N+]([O-])c1ccc(-c2csc3[n+]2CCN3)o1,0,O=[N+]([O-])c1ccc(-c2csc3[n+]2CCN3)o1,CC(C)C1CCC(C2CCC3CCCC32)C1
5189,5189,CHEMBL2105506,0,Nc1ccc(S(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)cc1,0,Nc1ccc(S(=O)(=O)c2ccc(NC(=O)CCC(=O)O)cc2)cc1,CC(C)CCC(C)CC1CCC(C(C)(C)C2CCC(C)CC2)CC1
334,334,CHEMBL2107238,0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](OS(=O)(=O)O)C[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](OS(=O)(=O)O)C[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(C)CCC(C)C1CCC2C3C(CC(C)(C)C)CC4CC(CC(C)(C)C)CCC4(C)C3CCC12C
9339,9339,CHEMBL1201319,4,C[C@H](N)[C@H](O)c1cccc(O)c1,1,C[C@H](N)[C@H](O)c1cccc(O)c1,CC1CCCC(C(C)C(C)C)C1
7722,7722,CHEMBL4301787,2,CN(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=S)S,0,CN(C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=S)S,CCC(C)C(C)C(C)C(C)CC(C)C(C)C
3636,3636,CHEMBL2104025,0,CCN(CC)CCOc1c2occc2c(O)c2c(=O)cc(C)oc12,0,CCN(CC)CCOc1c2occc2c(O)c2c(=O)cc(C)oc12,CCC(CC)CCCC1C2CCCC2C(C)C2C(C)CC(C)CC12
4240,4240,CHEMBL4297439,2,COCN1C(=O)N(COC)C(=O)C(c2ccccc2)(c2ccccc2)C1=O,0,COCN1C(=O)N(COC)C(=O)C(c2ccccc2)(c2ccccc2)C1=O,CCCC1C(C)C(CCC)C(C)C(C2CCCCC2)(C2CCCCC2)C1C
153,153,CHEMBL105442,2,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,0,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,CC1CCC(CC2C(C)C(C)CCC2C(C)CCCC2CC2)C(C)C1
7364,7364,CHEMBL61780,3,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO,0,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO,CCCCC1CC(C2CCCC(C3CCCC3)C2)CC(CC(C)(C)C2CCC(C(C)C)CC2)C1CC1CCCCC1CC
4645,4645,CHEMBL113,4,Cn1c(=O)c2c(ncn2C)n(C)c1=O,1,Cn1c(=O)c2c(ncn2C)n(C)c1=O,CC1CCC2C(C)C(C)C(C)C(C)C12
5679,5679,CHEMBL972,4,C#CCN(C)[C@H](C)Cc1ccccc1,1,C#CCN(C)[C@H](C)Cc1ccccc1,CCCC(C)C(C)CC1CCCCC1
761,761,CHEMBL4594348,2,C=CC(=O)N1CCC[C@@H](c2ccc(C(N)=O)c3[nH]ccc23)C1,0,C=CC(=O)N1CCC[C@@H](c2ccc(C(N)=O)c3[nH]ccc23)C1,CCC(C)C1CCCC(C2CCC(C(C)C)C3CCCC23)C1
695,695,CHEMBL8184,0,CCCCNc1c(C(=O)OCC)cnc2c1cnn2CC,0,CCCCNc1c(C(=O)OCC)cnc2c1cnn2CC,CCCCCC1C(C(C)CCC)CCC2C(CC)CCC21
8136,8136,CHEMBL24038,0,CCO[C@@H](Cc1ccc(OCCN2c3ccccc3Oc3ccccc32)cc1)C(=O)O,0,CCO[C@@H](Cc1ccc(OCCN2c3ccccc3Oc3ccccc32)cc1)C(=O)O,CCCC(CC1CCC(CCCC2C3CCCCC3CC3CCCCC32)CC1)C(C)C
6899,6899,CHEMBL359965,2,C=CCS[S+]([O-])CC=C,0,C=CCS[S+]([O-])CC=C,CCCCC(C)CCC
2440,2440,CHEMBL1574,4,CC(C)(N)Cc1ccccc1,1,CC(C)(N)Cc1ccccc1,CC(C)(C)CC1CCCCC1
5090,5090,CHEMBL497011,0,Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,0,Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12,CCCCC(C)C1CC(CCC2C(C)CCCC2C)C2CC(C)C(C)C2C1
7803,7803,CHEMBL783,4,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,1,CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,CC(C)C1CCC(C(C)CC(CC2CCCCC2)C(C)C)CC1
7202,7202,CHEMBL219631,0,O=c1[nH]c2ccc([S+]([O-])CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,0,O=c1[nH]c2ccc([S+]([O-])CCN3CCC(Cc4ccc(F)cc4)CC3)cc2o1,CC1CCC(CC2CCC(CCC(C)C3CCC4CC(C)CC4C3)CC2)CC1
4553,4553,CHEMBL522173,0,Cc1c(C)n(CCN(C)C)c2ccc(C(=O)OCCN(C)C)cc12,0,Cc1c(C)n(CCN(C)C)c2ccc(C(=O)OCCN(C)C)cc12,CC(C)CCCC(C)C1CCC2C(CCC(C)C)C(C)C(C)C2C1
8429,8429,CHEMBL2105291,0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@@H]4[C@H]3CC[C@@]21C,0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@@H]4[C@H]3CC[C@@]21C,CCC1(CC(C)C)CCC2C3CCC4CC(CC5CCCC5)CCC4C3CCC21C
3331,3331,CHEMBL360055,4,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,1,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,CCC(CC)(CC)CCCC1CCCC(CCCC(CC)(CC)CC)C1CCCC(CC)(CC)CC
3261,3261,CHEMBL819,4,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,1,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,CC(C)C1C2C(C)C(CC(C)C3C(C)CCC3C3CCCCC3)C2CC1(C)C
5099,5099,CHEMBL2106794,4,NC(=O)N/N=C1\C=Cc2ccccc2C1=O,1,NC(=O)N/N=C1\C=Cc2ccccc2C1=O,CC(C)CCC1CCC2CCCCC2C1C
1337,1337,CHEMBL469,4,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,1,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,CC(C)C1CCC2C(C(C)C3CCCCC3)CCC12
3762,3762,CHEMBL2133806,1,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,0,Cn1cc(-c2ccc3nnc(C(F)(F)c4ccc5ncccc5c4)n3n2)cn1,CC1CCC(C2CCC3CCC(C(C)(C)C4CCC5CCCCC5C4)C3C2)C1
1727,1727,CHEMBL86749,0,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,0,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,CC(CCC(C)(C)C)C1CC(C)C(C)C(C(C)(C)C)C1
5889,5889,CHEMBL489095,3,C[C@H]1CN(Cc2ccc(CC(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)CCN1,0,C[C@H]1CN(Cc2ccc(CC(=O)N3CCC(Nc4cccc(F)c4)CC3)cc2)CCN1,CC1CCCC(CC2CCC(CC(C)C3CCC(CC4CCCC(C)C4)CC3)CC2)C1
2434,2434,CHEMBL2105154,0,CC(C)Cc1ccc(C(C)C(=O)NCCO)cc1,0,CC(C)Cc1ccc(C(C)C(=O)NCCO)cc1,CCCCC(C)C(C)C1CCC(CC(C)C)CC1
7577,7577,CHEMBL270271,1,CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,0,CCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,CCC1CCC(CC2CCCC2)(C2CCC(C)CC2C)C1
4241,4241,CHEMBL2105129,0,O=C1c2ccccc2C(=O)C1c1ccc(C(F)(F)F)cc1,0,O=C1c2ccccc2C(=O)C1c1ccc(C(F)(F)F)cc1,CC1C2CCCCC2C(C)C1C1CCC(C(C)(C)C)CC1
1399,1399,CHEMBL156885,0,CNC(=O)COc1ccccc1OCC(O)CNC(C)(C)C,0,CNC(=O)COc1ccccc1OCC(O)CNC(C)(C)C,CCC(C)CCC1CCCCC1CCC(C)CCC(C)(C)C
8481,8481,CHEMBL1204686,0,O=C(O)C1(CCCCCc2ccc(Cl)cc2)CO1,0,O=C(O)C1(CCCCCc2ccc(Cl)cc2)CO1,CC1CCC(CCCCCC2(C(C)C)CC2)CC1
1999,1999,CHEMBL290960,4,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,1,CC1CS(=O)(=O)CCN1/N=C/c1ccc([N+](=O)[O-])o1,CC(C)C1CCC(CCC2CCC(C)(C)CC2C)C1
4877,4877,CHEMBL2105728,3,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,0,CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1,CC1CCC(C2CCCC3CCC(C4CCC5CC(CCC6(C)CCC6)CCC54)CC32)CC1
1624,1624,CHEMBL973,4,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,1,CC(=O)C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,CCC(C(C)C)C(C)CC1CCC(C(C)(C)C)CC1
1996,1996,CHEMBL62735,0,CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,0,CCc1c(OC)nc2nc(-c3noc(C)n3)cn2c1C,CCC1CC2CC(C3CCC(C)C3)CC2C(C)C1CC
9476,9476,CHEMBL502384,0,C1CN1c1nc(N2CC2)nc(N2CC2)n1,0,C1CN1c1nc(N2CC2)nc(N2CC2)n1,C1CC1C1CC(C2CC2)CC(C2CC2)C1
1120,1120,CHEMBL290429,2,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1,0,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCc2ccccc2)CC1,CCC(C)C(C1CCCCC1)C1(C(C)CC)CCC(CCC2CCCCC2)CC1
9660,9660,CHEMBL2104723,0,COc1ccc(-n2c(C)c[nH]c2=O)cc1,0,COc1ccc(-n2c(C)c[nH]c2=O)cc1,CCC1CCC(C2C(C)CCC2C)CC1
