,index,chembl_id,Phase,Smiles,market,standardized_smiles,scaffolds
6366,6366,CHEMBL516268,0,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](N3CCS(=O)(=O)CC3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,0,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](N3CCS(=O)(=O)CC3)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,CC1CCC2C(C)C(C3CCC(C)(C)CC3)CC3CC4(C)CCC1C32CC4
3079,3079,CHEMBL2103970,0,CC(=O)N(C)c1c(I)c(C(=O)O)c(I)c(N(CC(O)COCCCCOCC(O)CN(C(C)=O)c2c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c2I)C(C)=O)c1I,0,CC(=O)N(C)c1c(I)c(C(=O)O)c(I)c(N(CC(O)COCCCCOCC(O)CN(C(C)=O)c2c(I)c(C(=O)O)c(I)c(N(C)C(C)=O)c2I)C(C)=O)c1I,CC(CCCCCCCCC(C)CC(C(C)C)C1C(C)C(C(C)C)C(C)C(C(C)C(C)C)C1C)CC(C(C)C)C1C(C)C(C(C)C)C(C)C(C(C)C(C)C)C1C
8872,8872,CHEMBL4297451,1,CC[C@@H](C)Nc1cc(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,0,CC[C@@H](C)Nc1cc(C(=O)N[C@@H]2C[C@@H]3CC[C@H](C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,CCC(C)CC1CC(C(C)CC2CC3CCC(C2)C3C2CCC(C(C)C3CC3)CC2)C(C)CC1C(C)C
5504,5504,CHEMBL403664,4,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1,1,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1,CCC1CC(CC(C2CCCC2)C(CC(C)C2CC(C(CCC(C)C(C)C)CC(C)C)CC(C)C2C)C(C)CC(C)C(C)C(C)C(C)CC(C(C)C)C(C)CCCC2CCC(C3CCC(C(C)CCCCC(C)C)C3)C2)C(CC2CC(CC)C(C)C(CC(C)C)C2C)C(C)C1C
523,523,CHEMBL2106831,0,Clc1ccc2c(c1)/C(=C/C1CN3CCC1CC3)c1ccccc1S2,0,Clc1ccc2c(c1)/C(=C/C1CN3CCC1CC3)c1ccccc1S2,CC1CCC2CC3CCCCC3C(CC3CC4CCC3CC4)C2C1
8349,8349,CHEMBL1237054,4,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@@H]2C[C@@H](O)[C@@H](O[C@@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,1,CO[C@H](C(=O)[C@@H](O)[C@@H](C)O)[C@@H]1Cc2cc3cc(O[C@H]4C[C@@H](O[C@@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](O)[C@@H](C)O4)c(C)c(O)c3c(O)c2C(=O)[C@H]1O[C@H]1C[C@@H](O[C@@H]2C[C@@H](O)[C@@H](O[C@@H]3C[C@](C)(O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@H](O)[C@@H](C)O1,CCC(C(C)C(C)C(C)C)C1CC2CC3CC(CC4CC(C)C(C)C(CC5CC(C)C(C)C(C)C5)C4)C(C)C(C)C3C(C)C2C(C)C1CC1CC(C)C(C)C(CC2CC(C)C(CC3CC(C)C(C)C(C)(C)C3)C(C)C2)C1
1710,1710,CHEMBL2107060,0,CC(C)N(CCO/N=C1\CCCCC\C1=C/c1ccccc1)C(C)C,0,CC(C)N(CCO/N=C1\CCCCC\C1=C/c1ccccc1)C(C)C,CC(C)C(CCCCC1CCCCCC1CC1CCCCC1)C(C)C
4032,4032,CHEMBL406050,2,CCC(C)SSc1ncc[nH]1,0,CCC(C)SSc1ncc[nH]1,CCC(C)CCC1CCCC1
8688,8688,CHEMBL38434,1,Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,0,Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O,CC1CCC2CC(C3CCC(C4CCCCC4C)CC3)C(C)C(C(C)C)C2C1
3590,3590,CHEMBL2105105,0,O=C(O)c1cccc2c1Nc1cc(C(F)(F)F)ccc1S2,0,O=C(O)c1cccc2c1Nc1cc(C(F)(F)F)ccc1S2,CC(C)C1CCCC2CC3CCC(C(C)(C)C)CC3CC21
9097,9097,CHEMBL2106589,0,CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0,CCCCCCCCCCCCCCCCCCCCCC(=O)Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CCCCCCCCCCCCCCCCCCCCCC(C)CC1CCC(C2CC(CC)C(C)C2C)C(C)C1
252,252,CHEMBL1183060,0,NS(=O)(=O)c1cc(S(=O)(=O)O)c(NCc2ccco2)cc1Oc1ccccc1,0,NS(=O)(=O)c1cc(S(=O)(=O)O)c(NCc2ccco2)cc1Oc1ccccc1,CC(C)(C)C1CC(C(C)(C)C)C(CC2CCCCC2)CC1CCC1CCCC1
7601,7601,CHEMBL1230227,2,C[C@@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)O[C@H]2C)C[C@H](N)[C@@H]1O,0,C[C@@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3C[C@](O)(C(=O)CO)Cc4c(O)c5c(c(O)c43)C(=O)c3ccccc3C5=O)O[C@H]2C)C[C@H](N)[C@@H]1O,CCC(C)C1(C)CC(CC2CC(C)C(CC3CC(C)C(C)C(C)C3)C(C)C2)C2C(C)C3C(C)C4CCCCC4C(C)C3C(C)C2C1
7609,7609,CHEMBL1550879,0,CCCCCCCCCCCCCCCC[N+](C)(C)CC,0,CCCCCCCCCCCCCCCC[N+](C)(C)CC,CCCCCCCCCCCCCCCCC(C)(C)CC
2334,2334,CHEMBL2110704,0,CC[n+]1c(/C=C/c2ccc(N3CCCC3)cc2)cccc1/C=C/c1ccc(N2CCCC2)cc1,0,CC[n+]1c(/C=C/c2ccc(N3CCCC3)cc2)cccc1/C=C/c1ccc(N2CCCC2)cc1,CCC1C(CCC2CCC(C3CCCC3)CC2)CCCC1CCC1CCC(C2CCCC2)CC1
4165,4165,CHEMBL452231,4,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,1,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,CCC1CC(C2C3CC4CCCC4CC3C(CC3CC4CCC(C5CCCC5)CC4C(C)C3C)C3CCC(C)C32)CC(CC)C1C
763,763,CHEMBL4594351,2,Cc1c(Cc2ccc(-n3cccn3)cc2)cc2c(c1F)CN([C@H]1COCC[C@@H]1O)C2=O,0,Cc1c(Cc2ccc(-n3cccn3)cc2)cc2c(c1F)CN([C@H]1COCC[C@@H]1O)C2=O,CC1CCCCC1C1CC2C(C)C(C)C(CC3CCC(C4CCCC4)CC3)CC2C1C
7089,7089,CHEMBL2106103,0,Cc1c(C(=O)NCCC#N)[n+]([O-])c2ccccc2[n+]1[O-],0,Cc1c(C(=O)NCCC#N)[n+]([O-])c2ccccc2[n+]1[O-],CCCCCC(C)C1C(C)C(C)C2CCCCC2C1C
407,407,CHEMBL3039515,3,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)NCC(=O)O)c3ccccc3)cc2S(=O)(=O)C1,0,CCCCC1(CCCC)CN(c2ccccc2)c2cc(SC)c(OCC(=O)N[C@@H](C(=O)NCC(=O)O)c3ccccc3)cc2S(=O)(=O)C1,CCCCC1(CCCC)CC(C2CCCCC2)C2CC(CC)C(CCC(C)CC(C(C)CCC(C)C)C3CCCCC3)CC2C(C)(C)C1
9321,9321,CHEMBL2107476,0,CC(=O)Oc1ccccc1C(=O)OC1OC(=O)c2ccccc21,0,CC(=O)Oc1ccccc1C(=O)OC1OC(=O)c2ccccc21,CC(C)CC1CCCCC1C(C)CC1CC(C)C2CCCCC12
8562,8562,CHEMBL194378,2,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,0,CN(C)CCc1c[nH]c2cccc(OP(=O)(O)O)c12,CC(C)CCC1CCC2CCCC(CC(C)(C)C)C21
7539,7539,CHEMBL382300,2,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]23OC(=O)O[C@H]2[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,0,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)[C@H]2[C@H](OC(=O)c2ccccc2)[C@]23OC(=O)O[C@H]2[C@H](OC(=O)[C@H](O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)=C1C3(C)C,CC(C)CC(CC(C)CC(C)(C)C)C(C)C(C)CC1C(C)C2C(CC(C)C)C(C)C3(C)C(C)CC4CCC4(CC(C)C)C3C(CC(C)C3CCCCC3)C3(CC(C)CC13)C2(C)C
4434,4434,CHEMBL2107090,0,NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0,NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CC(C)C1CCC(C)C(C(C)(C)C)C1
4696,4696,CHEMBL3545313,4,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,1,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(=O)O)C(=O)O,CC(CCCCCC(C)(C)C(C)C)CCCCCC(C)(C)C(C)C
2066,2066,CHEMBL2104956,1,CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1,0,CCCCC(CC)COc1ccc(-c2nc(-c3ccc(OC)cc3)nc(-c3ccc(OCC(CC)CCCC)cc3O)n2)c(O)c1,CCCCC(CC)CCC1CCC(C2CC(C3CCC(CC)CC3)CC(C3CCC(CCC(CC)CCCC)CC3C)C2)C(C)C1
3366,3366,CHEMBL2107685,0,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,0,CCC(=O)OC1(c2ccccc2)CC(C)N(C)CC1C,CCC(C)CC1(C2CCCCC2)CC(C)C(C)CC1C
9350,9350,CHEMBL2106300,0,CCC(O)c1ccc(OCCNC(C)Cc2ccccc2)cc1,0,CCC(O)c1ccc(OCCNC(C)Cc2ccccc2)cc1,CCC(C)C1CCC(CCCCC(C)CC2CCCCC2)CC1
6613,6613,CHEMBL1233,4,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,1,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,CCCC(C)(CCC(C)C)CCC(C)CC(C)C
6930,6930,CHEMBL462018,2,Cn1nc(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23,0,CN1N=C(N)c2cn([C@@H]3O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]3O)c3ncnc1c23,CC1CC(C)C2CC(C3CC(CCC(C)(C)C)C(C)C3C)C3CCCC1C23
2584,2584,CHEMBL1950554,3,Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0,Nc1nc(N/N=C/C2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CCC1CC(C2CCC3C(C)CC(CCCC4CCCCC4)CC32)C(C)C1C
3718,3718,CHEMBL1201203,4,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,1,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,CC1C2CCC1CC(CC(C1CCCCC1)C1CCCCC1)C2
5935,5935,CHEMBL235668,4,N=C1CCCN1Cc1nc(O)nc(O)c1Cl,1,N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl,CC1CC(C)C(C)C(CC2CCCC2C)C1
127,127,CHEMBL4594445,2,CNCc1cn(S(=O)(=O)c2cccc(F)c2)c(-c2ccc(F)cc2F)c1OC,0,CNCc1cn(S(=O)(=O)c2cccc(F)c2)c(-c2ccc(F)cc2F)c1OC,CCCC1CC(C(C)(C)C2CCCC(C)C2)C(C2CCC(C)CC2C)C1CC
7065,7065,CHEMBL3716552,2,COc1cc(OCc2csc(-c3ccc(C(=O)N(C)C)cc3)n2)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,0,COc1cc(OCc2csc(-c3ccc(C(=O)N(C)C)cc3)n2)c2cc(-c3cn4nc(OC)sc4n3)oc2c1,CCC1CC2CC(C3CC4CC(CC)CC(CCC5CCC(C6CCC(C(C)C(C)C)CC6)C5)C4C3)CC2C1
7248,7248,CHEMBL2105113,0,O=C(Nc1nc(-c2ccccc2)cs1)OCC(Cl)(Cl)Cl,0,O=C(Nc1nc(-c2ccccc2)cs1)OCC(Cl)(Cl)Cl,CC(CCC(C)(C)C)CC1CCC(C2CCCCC2)C1
2045,2045,CHEMBL111,4,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1,Cc1c(C(=O)NN2CCCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,CC1CCC(C2C(C)C(C(C)CC3CCCCC3)CC2C2CCC(C)CC2C)CC1
1548,1548,CHEMBL487182,2,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,0,COc1cc2c(cc1OC)[C@@H]1Cc3ccc(OC)c(OC)c3CN1CC2,CCC1CC2CCC3CC4C(CCC(CC)C4CC)CC3C2CC1CC
5162,5162,CHEMBL2111046,0,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCC,0,CCCCCCCCCCCC[N+](C)(C)CC(=O)OCC,CCCCCCCCCCCCC(C)(C)CC(C)CCC
4572,4572,CHEMBL509,4,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,1,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,CC(C)C1CCCCC1CC1C(C)CCC(C)C1C
5860,5860,CHEMBL200177,2,CCn1ncnc1COc1nn2c(-c3ccccc3F)nnc2cc1C(C)(C)C,0,CCn1ncnc1COc1nn2c(-c3ccccc3F)nnc2cc1C(C)(C)C,CCC1CCCC1CCC1CC2C(CCC2C2CCCCC2C)CC1C(C)(C)C
4739,4739,CHEMBL2107423,0,O=C(O)c1ccc(C(F)(F)F)cc1OP(=O)(O)O,0,O=C(O)c1ccc(C(F)(F)F)cc1OP(=O)(O)O,CC(C)C1CCC(C(C)(C)C)CC1CC(C)(C)C
2803,2803,CHEMBL450044,0,CCOC(=O)OC[C@H]1O[C@@H](Oc2ccccc2Cc2ccc(OC)cc2)[C@H](O)[C@@H](O)[C@@H]1O,0,CCOC(=O)OC[C@H]1O[C@@H](Oc2ccccc2Cc2ccc(OC)cc2)[C@H](O)[C@@H](O)[C@@H]1O,CCCC(C)CCC1CC(CC2CCCCC2CC2CCC(CC)CC2)C(C)C(C)C1C
3048,3048,CHEMBL1742432,0,CC(C)(CCc1ccccc1)NCC(O)c1ccc2c(c1)CCC(=O)N2,0,CC(C)(CCc1ccccc1)NCC(O)c1ccc2c(c1)CCC(=O)N2,CC1CCC2CC(C(C)CCC(C)(C)CCC3CCCCC3)CCC2C1
4748,4748,CHEMBL3545083,1,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,0,COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,CCCCC1CCC(CC2CCC(C3CCC4C5CCCC(CC(C)CC6CCCCC6)C5C(C)C34)CC2)CC1
3700,3700,CHEMBL3833389,4,C[C@@H](CC(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)N1CCOCC1,1,C[C@@H](CC(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)N1CCOCC1,CC(CC(C1CCCCC1)(C1CCCCC1)C(C)C1CCCC1)C1CCCCC1
9366,9366,CHEMBL39861,0,CC1=C(/C=C/C(C)=C/C=C/c2ccc(C(=O)O)cc2)C(C)(C)CCC1,0,CC1=C(/C=C/C(C)=C/C=C/c2ccc(C(=O)O)cc2)C(C)(C)CCC1,CC(C)C1CCC(CCCC(C)CCC2C(C)CCCC2(C)C)CC1
5242,5242,CHEMBL2103860,2,COC(=O)[C@H](c1ccccc1)N1CCC(c2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2)CC1,0,COC(=O)[C@H](c1ccccc1)N1CCC(c2ccc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)cc2)CC1,CCC(C)C(C1CCCCC1)C1CCC(C2CCC(CC(C)C3CCCCC3C3CCC(C(C)(C)C)CC3)CC2)CC1
9874,9874,CHEMBL2111051,2,C#CCO[C@H]1CN2CCC1CC2,0,C#CCO[C@H]1CN2CCC1CC2,CCCCC1CC2CCC1CC2
4153,4153,CHEMBL1555736,0,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,0,CCOc1ccc(Cc2nccc3cc(OCC)c(OCC)cc23)cc1OCC,CCCC1CCC(CC2CCCC3CC(CCC)C(CCC)CC23)CC1CCC
4585,4585,CHEMBL658,4,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,1,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,CCCC1(C(C(C)CC)C2CCCCC2)CCC(CCC2CCCC2)CC1
4425,4425,CHEMBL4297642,2,CC(=O)N(CCCCNCCCn1c(=O)[nH]c2ccccc2c1=O)CCCn1c(=O)[nH]c2ccccc2c1=O,0,CC(=O)N(CCCCNCCCn1c(=O)[nH]c2ccccc2c1=O)CCCn1c(=O)[nH]c2ccccc2c1=O,CC(C)C(CCCCCCCCC1C(C)CC2CCCCC2C1C)CCCC1C(C)CC2CCCCC2C1C
7321,7321,CHEMBL366265,0,CCN(CC)CCOc1ccccc1Cc1ccccc1,0,CCN(CC)CCOc1ccccc1Cc1ccccc1,CCC(CC)CCCC1CCCCC1CC1CCCCC1
2435,2435,CHEMBL443014,0,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O,0,COC(COC(N)=O)C1=C(N2CC2)C(=O)C(C)=C(N2CC2)C1=O,CCC(CCC(C)C)C1C(C)C(C2CC2)C(C)C(C)C1C1CC1
7370,7370,CHEMBL2110814,0,CNCCC(c1cccc(F)c1)c1cccc(F)c1,0,CNCCC(c1cccc(F)c1)c1cccc(F)c1,CCCCC(C1CCCC(C)C1)C1CCCC(C)C1
6609,6609,CHEMBL1908322,0,CCS[C@]1(SC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,0,CCS[C@]1(SC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,CCCC1(CC)CCC2C3CCC4CC(C)CCC4(C)C3(C)C(C)CC21C
6242,6242,CHEMBL1278118,1,COc1cc(OC)cc(N2CCN(C(=O)Nc3nc4cc(F)ccc4nc3OC)CC2)c1,0,COc1cc(OC)cc(N2CCN(C(=O)Nc3nc4cc(F)ccc4nc3OC)CC2)c1,CCC1CC(CC)CC(C2CCC(C(C)CC3CC4CC(C)CCC4CC3CC)CC2)C1
670,670,CHEMBL1289926,4,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,1,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,CCC(C)C1CCCCC1CC1CCC2C(CCC2CCC2CCCCC2)C1
3420,3420,CHEMBL3989965,0,COc1ccc(C2=CN3C(=O)c4cc(OC)c(OCCCOc5cc6c(cc5OC)C(=O)N5C=C(c7ccc(NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CCCCCN8C(=O)C=CC8=O)C(C)C)cc7)C[C@H]5C=N6)cc4N=C[C@@H]3C2)cc1,0,COc1ccc(C2=CN3C(=O)c4cc(OC)c(OCCCOc5cc6c(cc5OC)C(=O)N5C=C(c7ccc(NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)CCCCCN8C(=O)C=CC8=O)C(C)C)cc7)C[C@H]5C=N6)cc4N=C[C@@H]3C2)cc1,CCC1CCC(C2CC3CCC4CC(CCCCCC5CC6CCC7CC(C8CCC(CC(C)C(C)CC(C)C(CC(C)CCCCCC9C(C)CCC9C)C(C)C)CC8)CC7C(C)C6CC5CC)C(CC)CC4C(C)C3C2)CC1
2794,2794,CHEMBL58,4,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,1,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,CCCCCCCC1CCC(CCCCCCC)C2C(C)C3C(C)CCC(C)C3C(C)C12
4971,4971,CHEMBL2110769,0,CNCCCC1(C)C(=O)N(c2ccccc2)c2ccccc21,0,CNCCCC1(C)C(=O)N(c2ccccc2)c2ccccc21,CCCCCC1(C)C(C)C(C2CCCCC2)C2CCCCC21
3417,3417,CHEMBL2107073,0,CO[C@H]1CCC[C@H]2C1=C(C(=O)OC(C)OC(=O)OC1CCCCC1)N1C(=O)[C@H]([C@@H](C)O)[C@@H]21,0,CO[C@H]1CCC[C@H]2C1=C(C(=O)OC(C)OC(=O)OC1CCCCC1)N1C(=O)[C@H]([C@@H](C)O)[C@@H]21,CCC1CCCC2C1C(C(C)CC(C)CC(C)CC1CCCCC1)C1C(C)C(C(C)C)C21
3923,3923,CHEMBL1361347,0,CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,0,CC1CCCC(C)N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,CC(CC1C(C)CCCC1C)C1CCC(C)C(C(C)(C)C)C1
1478,1478,CHEMBL485259,3,CC12CCC(CC1)C(C)(C)O2,0,CC12CCC(CC1)C(C)(C)O2,CC12CCC(CC1)C(C)(C)C2
3568,3568,CHEMBL258940,1,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,0,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,CC1CCC(CC2CCC3CCCC(CC4CCC(C)C(C)C4)C3C2)CC1
1307,1307,CHEMBL2103994,0,CC(=O)Nc1cccc2c(=O)n(C)c3ccccc3c(=O)c12,0,CC(=O)Nc1cccc2c(=O)n(C)c3ccccc3c(=O)c12,CC(C)CC1CCCC2C(C)C(C)C3CCCCC3C(C)C12
4087,4087,CHEMBL191491,0,CC[N+](CC)(CC)CCOc1ccc(/C=C/c2ccccc2)cc1,0,CC[N+](CC)(CC)CCOc1ccc(/C=C/c2ccccc2)cc1,CCC(CC)(CC)CCCC1CCC(CCC2CCCCC2)CC1
9254,9254,CHEMBL2104954,1,COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1N1CCC(N2CCCC2)CC1,0,COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1N1CCC(N2CCCC2)CC1,CCC1CC2C(CCC(CC)C2CC2CCC(CC3CCCC3C)C(C)C2)CC1C1CCC(C2CCCC2)CC1
3870,3870,CHEMBL1908391,3,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,0,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,CC1CCC(CC2CCC(C(C)CC3CCC(C)C(CC4CCC(C5CCCCC5)C4)C3)CC2)CC1
1418,1418,CHEMBL1990189,0,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,0,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC,CCC(C)(C)C(C)(CC)C(C)(C)CC
9029,9029,CHEMBL2104308,0,O=C1Cc2ccccc2C(=C2CCN(CCOCCOCCO)CC2)c2ccsc21,0,O=C1Cc2ccccc2C(=C2CCN(CCOCCOCCO)CC2)c2ccsc21,CCCCCCCCCC1CCC(C2C3CCCCC3CC(C)C3CCCC32)CC1
6646,6646,CHEMBL2107483,0,Cn1c(=O)c2c(ncn2CCCN[C@H]2CO[C@@H]3[C@@H](O[N+](=O)[O-])CO[C@H]23)n(C)c1=O,0,Cn1c(=O)c2c(ncn2CCCN[C@H]2CO[C@@H]3[C@@H](O[N+](=O)[O-])CO[C@H]23)n(C)c1=O,CC(C)CC1CCC2C(CCCCC3CCC4C(C)C(C)C(C)C(C)C34)CCC12
5495,5495,CHEMBL2111001,0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@]2(O)CCC(=O)O)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@]2(O)CCC(=O)O)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C,CC(C)CCC1(C)CCC2C3C4CC4C4CC(C)CCC4(C)C3CCC21C
445,445,CHEMBL2104254,0,CCOC(=O)C1(c2ccccc2)CCN(CCOCCO)CC1,0,CCOC(=O)C1(c2ccccc2)CCN(CCOCCO)CC1,CCCCCCC1CCC(C(C)CCC)(C2CCCCC2)CC1
6941,6941,CHEMBL289469,4,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,1,CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,CC1CC(C(C)CC2CC3CCCC(C2)C3C)C2CCCCC12
