,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0
39,c12c(c(ncn1)N)[nH]cn2,CHEMBL226345,0.0,0,0,0,0,0,0
40,c12c(ncnc1N)n(cn2)[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)CO,CHEMBL477,0.5,1,0,0,0,0,0
41,O=P(OC[C@H]1O[C@@H](n2c3c(c(ncn3)N)nc2)[C@H](O)[C@@H]1O)(O)O,CHEMBL752,2.0,1,1,1,1,0,0
42,C(=O)(NO)CS(=O)C(c1ccccc1)c2ccccc2,CHEMBL93077,1.0,1,1,0,0,0,0
43,C(=O)(N1[C@H](C(=O)N[C@H](C(=O)N)C(C)C)CCC1)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C)CO)Cc2ccc(O)cc2)CO)CCCC)CCC(=O)O)Cc3cnc[nH]3)Cc4ccccc4)CCCNC(=N)N)Cc5c6c(cccc6)[nH]c5)CCCCN,CHEMBL441738,0.0,0,0,0,0,0,0
44,C(=O)(/C=C/CN(C)C)Nc1c(O[C@@H]2COCC2)cc3c(c(ncn3)Nc4cc(Cl)c(F)cc4)c1,CHEMBL1173655,0.0,0,0,0,0,0,0
45,C(=O)(NCCc1c2c(ccc(OC)c2)ccc1)C,CHEMBL10878,0.0,0,0,0,0,0,0
46,c12c(N([C@@H]3[C@]14[C@H](O)C5[C@@H](N6[C@H](O)[C@H]([C@@H]5C[C@H]63)CC)C4)C)cccc2,CHEMBL2357792,0.0,0,0,0,0,0,0
47,C(=O)(C1C(=O)c2c(nc(c(F)c2)N3C[C@@H]4[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)C)C)[C@@H]4C3)N(c5c(F)cc(F)cc5)C=1)O,CHEMBL1201197,3.0,1,1,1,1,1,1
48,C(=O)(OC)Nc1nc2c(cc(SCCC)cc2)[nH]1,CHEMBL1483,0.0,0,0,0,0,0,0
49,O=Cc1n2c(C(c3c(cccc3)CC2)=C4CCN(CC4)C)nc1,CHEMBL1201747,0.0,0,0,0,0,0,0
50,C(=O)(O)Cc1cc(Cl)c(OCC=C)cc1,CHEMBL94081,3.0,1,1,1,1,1,1
51,C(=O)([C@@]1([C@@]2([C@H]([C@@H]3[C@H](Cl)CC4[C@](C=CC(=O)C=4)([C@H]3[C@@H](O)C2)C)C[C@H]1C)C)O)CO,CHEMBL1201361,0.0,0,0,0,0,0,0
52,C(#N)c1cc2c(c3C(=O)c4c(C(c3[nH]2)(C)C)cc(c(c4)CC)N5CCC(N6CCOCC6)CC5)cc1,CHEMBL1738797,0.0,0,0,0,0,0,0
53,C(P(=O)(O)O)(P(=O)(O)O)(O)CCCN,CHEMBL870,0.0,0,0,0,0,0,0
54,C1(/C(=C\C=C2\[C@H]3[C@@]([C@@H]([C@@H](CCCC(C)C)C)CC3)(CCC\2)C)/C[C@@H](O)C[C@@H]1O)=C,CHEMBL1601669,0.0,0,0,0,0,0,0
55,C(N(c1ccccc1)C2(COC)CCN(CCN3C(=O)N(N=N3)CC)CC2)(=O)CC,CHEMBL634,0.0,0,0,0,0,0,0
56,C(=O)(NCCCN(c1nc2c(c(n1)N)cc(OC)c(OC)c2)C)C3OCCC3,CHEMBL709,0.0,0,0,0,0,0,0
57,N(CC(CN1c2c(Sc3c1cccc3)cccc2)C)(C)C,CHEMBL829,0.5,1,0,0,0,0,0
58,C(C(CNC(=O)[C@H](C(C)C)C[C@@H]([C@H](C[C@@H](C(C)C)Cc1cc(OCCCOC)c(OC)cc1)N)O)(C)C)(=O)N,CHEMBL1639,0.0,0,0,0,0,0,0
59,C(=O)(/C=C(/C=C/C=C(\C=C\C1=C(CCCC1(C)C)C)/C)\C)O,CHEMBL705,1.0,1,1,0,0,0,0
60,C(=O)(NC1C(=O)NC(=O)N1)N,CHEMBL593429,0.0,0,0,0,0,0,0
61,O=C1c2c(O)cc(cc2C(c3c1c(O)ccc3)[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O)CO)CO,CHEMBL497001,0.0,0,0,0,0,0,0
62,c12c(ncnc1[nH]nc2)O,CHEMBL1467,0.0,0,0,0,0,0,0
63,Fc1ccc(C(c2ccc(F)cc2)N3CCN(c4nc(nc(n4)NCC=C)NCC=C)CC3)cc1,CHEMBL1183717,0.0,0,0,0,0,0,0
64,N(CCc1c2c(ccc(c2)CS(=O)(=O)N3CCCC3)[nH]c1)(C)C,CHEMBL1505,0.0,0,0,0,0,0,0
65,C(#N)c1c(cccc1)CN2C(=O)N(C(=O)C=C2N3C[C@H](N)CCC3)C,CHEMBL376359,0.0,0,0,0,0,0,0
66,O=C1c2c3c(n(c2CCN1Cc4c([nH]cn4)C)C)cccc3,CHEMBL1110,2.0,1,1,1,1,0,0
67,C(=O)(N1[C@H](C(=O)N)CCC1)Nc2nc(c(-c3cc(C(C(F)(F)F)(C)C)ncc3)s2)C,CHEMBL2396661,0.0,0,0,0,0,0,0
68,C(/C=O)(=C/c1ccccc1)\CCCCC,CHEMBL1611291,0.0,0,0,0,0,0,0
69,C(=O)(O)CCCCCCC/C=C\C/C=C\C/C=C\CC,CHEMBL8739,0.0,0,0,0,0,0,0
70,C(=O)(Oc1c(c2c(c(c1C)C)O[C@](CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)(CC2)C)C)CCC(=O)O,CHEMBL81421,0.0,0,0,0,0,0,0
71,Clc1cc2C(c3ccccc3)=NCc4nnc(n4-c2cc1)C,CHEMBL661,0.0,0,0,0,0,0,0
72,O(c1c(cccc1)CC=C)CC(O)CNC(C)C,CHEMBL266195,1.0,1,1,0,0,0,0
73,C(=O)(O)CCCCCC[C@H]1C(=O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)CCCCC,CHEMBL495,0.0,0,0,0,0,0,0
74,N(c1nc(N(C)C)nc(N(C)C)n1)(C)C,CHEMBL1455,0.0,0,0,0,0,0,0
75,C(=O)(O[Al](OC(=O)C)O)C,CHEMBL1532734,0.0,0,0,0,0,0,0
76,N(CCCc1ccccc1)(CCCc2ccccc2)CC,CHEMBL253371,0.0,0,0,0,0,0,0
77,C(=O)([C@@H](Cc1ccccc1)CN2C[C@@H]([C@](c3cc(O)ccc3)(CC2)C)C)NCC(=O)O,CHEMBL270190,0.0,0,0,0,0,0,0
78,C12(N)CC3CC(C1)CC(C2)C3,CHEMBL660,0.0,0,0,0,0,0,0
79,C(C(=O)NCC[N+](Cc1c(Cl)cccc1)(CC)CC)(=O)NCC[N+](Cc2c(Cl)cccc2)(CC)CC,CHEMBL1652,0.0,0,0,0,0,0,0
80,C(=O)([C@H](C(OC)(c1ccccc1)c2ccccc2)Oc3nc(cc(n3)C)C)O,CHEMBL1111,0.0,0,0,0,0,0,0
81,Brc1c(c(cc(Br)c1)CNC2CCC(O)CC2)N,CHEMBL153479,0.0,0,0,0,0,0,0
82,C(=O)(OCC(=O)[C@]12[C@@]3([C@H]([C@H]4[C@@](F)([C@@]5(C(=CC(=O)C=C5)CC4)C)[C@@H](O)C3)C[C@H]1OC6(O2)CCCC6)C)C,CHEMBL1200732,0.0,0,0,0,0,0,0
83,C(=O)(O)[C@H]1C(S[C@H]2N1C(=O)[C@H]2N=CN3CCCCCC3)(C)C,CHEMBL530,1.5,1,1,1,0,0,0
84,c1(c(ccnc1)N)N,CHEMBL354077,0.0,0,0,0,0,0,0
85,O=P(SCCNCCCN)(O)O,CHEMBL1006,0.0,0,0,0,0,0,0
86,C(=O)([C@@H](O)CCN)N[C@H]1[C@H](O[C@H]2O[C@@H]([C@@H](O)[C@@H]([C@H]2O)N)CO)[C@@H](O)[C@H](O[C@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)CN)[C@@H](N)C1,CHEMBL177,0.0,0,0,0,0,0,0
87,C(=O)(c1c(nc(c(Cl)n1)N)N)NC(=N)N,CHEMBL945,0.0,0,0,0,0,0,0
88,C(=O)(OCCC(C)C)/C=C/c1ccc(OC)cc1,CHEMBL1476782,0.0,0,0,0,0,0,0
89,C(=O)(O)CCCCCCNC1c2c(cccc2)CCc3c1cccc3,CHEMBL418995,3.0,1,1,1,1,1,1
90,C(=O)(c1ccc(cc1)N)O,CHEMBL542,0.0,0,0,0,0,0,0
91,C(=O)(O)CCCCCN,CHEMBL1046,0.0,0,0,0,0,0,0
92,O=C1C(c2ccc(cc2)N)(CC)CCC(=O)N1,CHEMBL488,1.5,1,1,1,0,0,0
93,C(=O)(c1ccc(cc1)N)NCC(=O)O,CHEMBL463,0.0,0,0,0,0,0,0
94,C(=O)(O)CCC(=O)CN,CHEMBL601,0.0,0,0,0,0,0,0
95,N(C1C(=O)N(c2ccccc2)N(C=1C)C)(C)C,CHEMBL288470,3.0,1,1,1,1,1,1
96,C(=O)(c1ccc(NCc2nc3c(nc(nc3N)N)nc2)cc1)N[C@H](C(=O)O)CCC(=O)O,CHEMBL376180,1.0,1,1,0,0,0,0
97,C(=O)(c1c(O)cc(cc1)N)O,CHEMBL1169,0.0,0,0,0,0,0,0
98,C(=O)(c1c2c(oc1CCCC)cccc2)c3cc(I)c(OCCN(CC)CC)c(I)c3,CHEMBL633,0.0,0,0,0,0,0,0
99,C(=O)(c1c(OC)cc(c(S(=O)(=O)CC)c1)N)NCC2N(CC)CCC2,CHEMBL243712,0.0,0,0,0,0,0,0
100,N(CCC=C1c2c(cccc2)CCc3c1cccc3)(C)C,CHEMBL629,0.0,0,0,0,0,0,0
101,C1(c2c(cccc2)CCc3c1cccc3)=CCC[N+]([O-])(C)C,CHEMBL627,0.0,0,0,0,0,0,0
102,C(=O)(c1c(nc2c(C(=O)c3c(O2)ccc(C(C)C)c3)c1)N)O,CHEMBL1096,1.0,1,1,0,0,0,0
