DrugBank ID,CHEMBL_21July2021,smiles,withdrawn
DB14703,CHEMBL3305965,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)C[C@H]1C)C)O)c5cc(S(=O)(=O)O)ccc5,0
DB14677,CHEMBL2107389,C(=O)(O[C@@]1(C(=O)C)[C@@]2([C@H]([C@H]3[C@@H]([C@@H]4C(=CC(=O)CC4)CC3)CC2)CC1)C)CCCCC,0
DB14674,CHEMBL1756,C(N(CCCl)CCCl)(=O)Oc1cc2c(cc1)[C@@H]3[C@H]([C@H]4[C@@]([C@@H](OP(=O)(O)O)CC4)(CC3)C)CC2,0
DB14669,CHEMBL1201207,C(=O)([C@@]1([C@@]2([C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)C[C@@H]1C)C)O)COP(=O)(O)O,0
DB14658,CHEMBL1506,C(=O)(OC[C@H]([C@@H](c1ccc([N+](=O)[O-])cc1)O)NC(=O)C(Cl)Cl)CCCCCCCCCCCCCCC,0
DB14657,CHEMBL1200342,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)[C@@H](F)C3)C)[C@@H](O)C2)C[C@H]1C)C)O)C,0
DB14655,CHEMBL1201048,C(=O)(O[C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@H](CC(=O)[C@@H](C4)C)CC3)C)CC2)CC1)C)CC,0
DB14650,CHEMBL1201348,O=P(Oc1c2c(c(OP(=O)(O)O)cc1C)cccc2)(O)O,0
DB14649,CHEMBL1530428,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@](F)([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)C[C@H]1C)C)O)C,0
DB14646,CHEMBL1507567,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@H](C(=O)C2)[C@@]4(C(=CC(=O)C=C4)CC3)C)CC1)C)O)C,0
DB14644,CHEMBL1201265,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)[C@H](C3)C)C)[C@@H](O)C2)CC1)C)O)CCC(=O)O,0
DB14643,CHEMBL1697782,C(=O)(O[C@@]1(C(=O)COC(=O)C)[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)[C@H](C3)C)C)[C@@H](O)C2)CC1)C)CC,0
DB14642,CHEMBL1200690,C(=O)(N1[C@H](C(=O)NC(C(=O)NCC(=O)N)CCCCN)CCC1)[C@H]2NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](N)CSSC2)Cc3ccc(O)cc3)Cc4ccccc4)CCC(=O)N)CC(=O)N,0
DB14638,CHEMBL1334860,C(N(c1ccc(OC(=O)c2occc2)cc1)C)(=O)C(Cl)Cl,0
DB14632,CHEMBL1200909,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)CC1)C)O)CC(C)(C)C,0
DB14631,CHEMBL1201231,C(=O)([C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)CC1)C)O)COP(=O)(O)O,0
DB14600,CHEMBL1749,C(=O)([O-])CN(CC(=O)O)CCN(CC(=O)[O-])CC(=O)O,0
DB14596,CHEMBL1200865,C(=O)(O[C@@]1(C(=O)OCCl)[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)CC3)C)[C@@H](O)C2)CC1)C)OCC,0
DB14583,CHEMBL3707377,C(=O)(O[C@]1(C(=O)C)C(=C)C[C@@H]2[C@@]1(CC[C@@H]3[C@@H]4C(=CC(=O)CC4)CC[C@@H]23)C)C,0
DB14575,CHEMBL315985,C(=O)(N1c2c(cccc2)[C@@H](O)Cc3c1cccc3)N,0
DB14569,CHEMBL1257051,O=C1N(c2cc(F)c(-c3cnc(-c4nnn(n4)C)cc3)cc2)C[C@@H](O1)CO,0
DB14568,CHEMBL3989958,C(#N)c1cc(ncc1)N2C(=O)CC[C@H]2C(N(c3cc(F)cnc3)[C@H](C(=O)NC4CC(F)(F)C4)c5c(Cl)cccc5)=O,0
