,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn
10016,CHEMBL611,5401,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Safe,0
8865,CHEMBL29411,6989,Cc1ccc(C(C)C)c(O)c1,Cc1ccc(C(C)C)c(O)c1,Safe,0
1350,CHEMBL1658,missing,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@H]2C[C@@H]3CC[C@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,Safe,0
427,CHEMBL1144,54687,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,Safe,0
4455,CHEMBL2111097,9822750,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,Safe,0
4098,CHEMBL2146883,16222096,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,Safe,0
8473,CHEMBL1187,1004,O=P(O)(O)O,O=P(O)(O)O,Safe,0
4310,CHEMBL1474963,255968,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,Safe,1
2758,CHEMBL691,5991,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,Safe,0
4080,CHEMBL614,1046,NC(=O)c1cnccn1,NC(=O)c1cnccn1,Safe,0
8181,CHEMBL1014,2540,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,toxic_teratogen,0
6724,CHEMBL457547,477468,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)no2)cc1,Safe,0
8944,CHEMBL1201325,24199,C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,Safe,0
2947,CHEMBL269732,445643,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,toxic_carcinogenic+toxic_immune+infections,0
7486,CHEMBL1200515,8550,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,Safe,0
7645,CHEMBL110458,176077,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,Safe,0
5276,CHEMBL1201197,missing,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]21,Safe,1
9690,CHEMBL692,753,OCC(O)CO,OCC(O)CO,Safe,0
7288,CHEMBL1412,4837,C1CNCCN1,C1CNCCN1,Safe,0
5853,CHEMBL2105611,5283734,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CC[C@@H](O)C(C)C)C[C@@H](O)C[C@@H]1O,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CC[C@@H](O)C(C)C)C[C@@H](O)C[C@@H]1O,Safe,0
7271,CHEMBL408513,6918638,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,Safe,0
3233,CHEMBL301265,119570,CCCN[C@H]1CCc2nc(N)sc2C1,CCCN[C@H]1CCc2nc(N)sc2C1,Safe,0
2084,CHEMBL1681,8614,O=C(O)CNC(=O)c1ccccc1I,O=C(O)CNC(=O)c1ccccc1I,Safe,0
8095,CHEMBL900,4601,Cc1ccccc1C(OCCN(C)C)c1ccccc1,Cc1ccccc1C(OCCN(C)C)c1ccccc1,Safe,0
5601,CHEMBL492,37497,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,Safe,0
8161,CHEMBL169901,2966,N=C(N)N1CCc2ccccc2C1,N=C(N)N1CCc2ccccc2C1,Safe,0
7518,CHEMBL1265,60164,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,Safe,0
7753,CHEMBL1279,77992,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,Safe,0
8802,CHEMBL1668,5280954,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,Safe,0
7446,CHEMBL1200711,9831414,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC.CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OCC,Safe,0
3569,CHEMBL796,4158,COC(=O)C(c1ccccc1)C1CCCCN1,COC(=O)C(c1ccccc1)C1CCCCN1,Safe,0
9207,CHEMBL1909283,6179,CC(NN)c1ccccc1,CC(NN)c1ccccc1,Safe,1
2147,CHEMBL973,54684141,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,toxic_hepa+toxic_teratogen,0
2348,CHEMBL1505,123606,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,Safe,0
3801,CHEMBL1196,4935,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,Safe,0
5579,CHEMBL534,3827,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,Safe,0
3326,CHEMBL867,3735,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,CCC(Cc1c(I)cc(I)c(N)c1I)C(=O)O,Safe,0
8864,CHEMBL1371770,4850,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,c1cnc(N2CCN(Cc3ccc4c(c3)OCO4)CC2)nc1,Safe,0
7765,CHEMBL3545367,56944144,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,Cc1ncc(OC[C@@]2(c3cccc(F)c3)C[C@H]2C(=O)Nc2ccc(F)cn2)c(C)n1,Safe,0
5100,CHEMBL2159122,11250029,COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,COc1ccc(CN(C(=O)[C@@H](N)Cc2c(C)cc(C(N)=O)cc2C)[C@@H](C)c2nc(-c3ccccc3)c[nH]2)cc1C(=O)O,Safe,0
9312,CHEMBL1201056,5322,CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,CCn1ccc(NS(=O)(=O)c2ccc(N)cc2)nc1=O,Safe,0
6567,CHEMBL189963,5330286,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O,Safe,0
3974,CHEMBL773,750,NCC(=O)O,NCC(=O)O,Safe,0
10338,CHEMBL1200600,9878,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,Safe,0
9180,CHEMBL404108,151166,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,Safe,1
7017,CHEMBL1358,104741,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,Safe,0
7261,CHEMBL465026,4450,CN1CCOC(c2ccccc2)c2ccccc2C1,CN1CCOC(c2ccccc2)c2ccccc2C1,Safe,0
5300,CHEMBL1256,3763,FC(F)OC(Cl)C(F)(F)F,FC(F)OC(Cl)C(F)(F)F,Safe,0
2287,CHEMBL130,5959,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,Safe,0
2546,CHEMBL4297185,67171867,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,Safe,0
8052,CHEMBL503160,444972,O=C(O)/C=C/C(=O)O,O=C(O)/C=C/C(=O)O,Safe,0
10194,CHEMBL1082407,15951529,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Safe,0
5459,CHEMBL1201220,2140,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Safe,0
6755,CHEMBL203266,21109,COc1ccc(CN2CCNCC2)c(OC)c1OC,COc1ccc(CN2CCNCC2)c(OC)c1OC,Safe,0
4027,CHEMBL1201747,19371515,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,Safe,0
7152,CHEMBL1454,26879,c1ccc([C@H]2CN3CCSC3=N2)cc1,c1ccc([C@H]2CN3CCSC3=N2)cc1,Safe,0
6539,CHEMBL502135,135191,OC1OC[C@@H](O)[C@H](O)[C@H]1O,OC1OC[C@@H](O)[C@H](O)[C@H]1O,Safe,0
9004,CHEMBL559,8730,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,Safe,0
2391,CHEMBL1616046,24341,OCl,OCl,Safe,0
2479,CHEMBL1201335,3494,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,Safe,0
9294,CHEMBL996,441199,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,Safe,0
6980,CHEMBL636,77991,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,Safe,0
2757,CHEMBL940,3446,NCC1(CC(=O)O)CCCCC1,NCC1(CC(=O)O)CCCCC1,Safe,0
2963,CHEMBL354077,5918,Nc1ccncc1N,Nc1ccncc1N,Safe,0
548,CHEMBL1201266,44564,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,Safe,0
916,CHEMBL1519,5484727,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@H]2CCCC[C@@H]21,toxic_teratogen,0
6762,CHEMBL1616951,656615,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]2(O)CCC(=O)O,C[C@]12CC[C@H]3[C@@H](C=CC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@]2(O)CCC(=O)O,Safe,0
9160,CHEMBL22097,13314,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,CN1C(=O)C(O)N=C(c2ccccc2Cl)c2cc(Cl)ccc21,Safe,0
10289,CHEMBL3833361,63030,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,Safe,0
8535,CHEMBL256997,11219835,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,O=C(O)c1cccc(-c2noc(-c3ccccc3F)n2)c1,Safe,0
5129,CHEMBL1200500,21700,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,Safe,0
8485,CHEMBL660,2130,NC12CC3CC(CC(C3)C1)C2,NC12CC3CC(CC(C3)C1)C2,Safe,0
