,chembl_id,pubchem_cid,smiles,parent_smiles,chembl_tox,withdrawn
7833,CHEMBL710,57363,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Safe,0
7511,CHEMBL1770248,44814423,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,Safe,0
6030,CHEMBL3989949,11962412,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,NC(=O)O[C@@H](Cn1ncnn1)c1ccccc1Cl,Safe,0
10493,CHEMBL844,2435,Brc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,Safe,0
2262,CHEMBL833,5472,Clc1ccccc1CN1CCc2sccc2C1,Clc1ccccc1CN1CCc2sccc2C1,toxic_hema,0
1342,CHEMBL1059,5486971,CC(C)C[C@H](CN)CC(=O)O,CC(C)C[C@H](CN)CC(=O)O,Safe,0
9859,CHEMBL669,2895,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,Safe,0
2027,CHEMBL2104445,72145,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,CCOc1c(N)c2c(c(OCC)c1OCC)C(C1c3c(cc4c(c3OC)OCO4)CCN1C)OC2=O,Safe,0
7671,CHEMBL1201753,5282452,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,Safe,0
1872,CHEMBL1863513,6918670,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,Safe,0
9291,CHEMBL44618,6212,ClC(Cl)Cl,ClC(Cl)Cl,Safe,1
2288,CHEMBL315795,10783,Cc1ncsc1CCCl,Cc1ncsc1CCCl,Safe,0
310,CHEMBL485,5284371,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,Safe,0
2378,CHEMBL305906,2683,CCCCCCCCCCCCCCCC[n+]1ccccc1,CCCCCCCCCCCCCCCC[n+]1ccccc1,Safe,0
939,CHEMBL8085,5962,NCCCC[C@H](N)C(=O)O,NCCCC[C@H](N)C(=O)O,Safe,0
1620,CHEMBL1055,2732,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,Safe,0
10634,CHEMBL1460,50599,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,toxic_gastro+toxic_hepa+toxic_immune+toxic_metabolism,0
4264,CHEMBL53463,31703,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,toxic_carcinogenic+toxic_cardio+toxic_hema+toxic_hepa+toxic_vascular,0
5680,CHEMBL4297067,58989134,O=C1C=CC2C(=C1)Oc1cc(O)ccc1C21OC(=O)c2ccccc21,O=C1C=CC2C(=C1)Oc1cc(O)ccc1C21OC(=O)c2ccccc21,Safe,0
6245,CHEMBL471737,132999,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,COc1cc2c(cc1OC)CC(=O)N(CCCN(C)C[C@H]1Cc3cc(OC)c(OC)cc31)CC2,Safe,0
8141,CHEMBL1237,5362119,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,toxic_teratogen,0
4728,CHEMBL54349,54897,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,Safe,1
5124,CHEMBL9967,4848,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,Safe,0
9128,CHEMBL1234886,977,O=O,O=O,Safe,0
1187,CHEMBL4101807,71602803,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,Safe,0
3457,CHEMBL1200453,12620,CCCCCCCCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCCCCCCCCO,Safe,0
5210,CHEMBL465,16078,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,Safe,0
8600,CHEMBL445,4543,CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21,toxic_psyche,0
5312,CHEMBL1660,135403821,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Safe,0
6449,CHEMBL1372950,34040,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,Safe,0
7498,CHEMBL1113,2170,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,toxic_psyche,0
8632,CHEMBL4297528,118513932,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,Safe,0
4247,CHEMBL1411979,4098,CN(C)CCN(Cc1cccs1)c1ccccn1,CN(C)CCN(Cc1cccs1)c1ccccn1,Safe,1
7734,CHEMBL1201295,35330,Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,Safe,0
1351,CHEMBL253376,2442,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,CN(Cc1cc(Br)cc(Br)c1N)C1CCCCC1,Safe,0
1304,CHEMBL3707290,122197536,C=C(CCCCCCCCCCCCCCCc1nnn[nH]1)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=O)CSC[C@H](N)C(=O)O)C(N)=O)C(=O)O)C(=O)O,C=C(CCCCCCCCCCCCCCCc1nnn[nH]1)NS(=O)(=O)CCCC(=O)NCCOCCOCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)NCCOCCOCC(=O)N[C@@H](CCCCNC(=O)CSC[C@H](N)C(=O)O)C(N)=O)C(=O)O)C(=O)O,Safe,0
4674,CHEMBL1029,51634,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,Safe,0
7609,CHEMBL306823,16539,O=C([O-])C(Cl)Cl.[Na+],O=C([O-])C(Cl)Cl.[Na+],Safe,0
3149,CHEMBL628,4740,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,Safe,0
3351,CHEMBL1140,936,NC(=O)c1cccnc1,NC(=O)c1cccnc1,Safe,0
4165,CHEMBL686,4044,Cc1cccc(Nc2ccccc2C(=O)O)c1C,Cc1cccc(Nc2ccccc2C(=O)O)c1C,toxic_cardio+toxic_gastro+toxic_neuro,0
3229,CHEMBL834,4674,NCCC(O)(P(=O)(O)O)P(=O)(O)O,NCCC(O)(P(=O)(O)O)P(=O)(O)O,Safe,0
1302,CHEMBL1257015,4814,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,COc1ccc(C(=O)NCc2cccnc2)cc1C(=O)NCc1cccnc1,Safe,0
10149,CHEMBL9,4539,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,Safe,0
7542,CHEMBL1214185,6915744,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,Safe,0
7837,CHEMBL1201046,43507,NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,NCc1ccccc1CC(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,Safe,0
8151,CHEMBL1487,60823,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,Safe,0
2330,CHEMBL1078261,4942,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1,Safe,0
307,CHEMBL1741,84029,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,Safe,0
6664,CHEMBL1689772,missing,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,CN(C)c1cc(CNCC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,Safe,0
1345,CHEMBL1008,2351,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,Safe,0
10539,CHEMBL255863,644241,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1,Safe,0
9413,CHEMBL1755,151171,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,Cc1nc2c([nH]1)CCN(C(=O)c1ccc(NC(=O)c3ccccc3-c3ccccc3)cc1)c1ccccc1-2,Safe,0
4521,CHEMBL1201284,156419,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,Safe,0
9666,CHEMBL1200656,5284447,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,Safe,0
7602,CHEMBL1071,4614,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,toxic_cardio+toxic_gastro+toxic_neuro,0
7723,CHEMBL278623,9804938,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,CC(C)(N)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1c[nH]c2ccccc12)NC=O,Safe,0
1664,CHEMBL1328,9853654,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,Safe,0
10423,CHEMBL2356023,5311071,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@@]21C,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@@]21C,Safe,0
10103,CHEMBL1201319,5906,C[C@H](N)[C@H](O)c1cccc(O)c1,C[C@H](N)[C@H](O)c1cccc(O)c1,Safe,0
1574,CHEMBL227875,456199,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,Safe,0
4417,CHEMBL1194325,11434515,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,Safe,0
7630,CHEMBL911,5732,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Safe,0
7315,CHEMBL1200922,6151,CCC(C)C(C)(COC(N)=O)COC(N)=O,CCC(C)C(C)(COC(N)=O)COC(N)=O,Safe,0
3458,CHEMBL19236,4810,COc1nc(C)nc(Cl)c1NC1=NCCN1,COc1nc(C)nc(Cl)c1NC1=NCCN1,Safe,0
1099,CHEMBL864,2564,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1,Safe,0
7970,CHEMBL1331216,missing,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2,Safe,0
2934,CHEMBL1269025,10280735,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,Safe,0
10608,CHEMBL1201182,6918289,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,Safe,0
9096,CHEMBL2106978,9288,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[K+],O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[K+],Safe,0
3928,CHEMBL1231574,444412,CN1c2c([nH]c(N)nc2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,CN1c2c([nH]c(N)nc2=O)NC[C@@H]1CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,Safe,0
8523,CHEMBL1201764,6918558,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,CC(C)C(=O)Oc1ccc(CO)cc1[C@H](CCN(C(C)C)C(C)C)c1ccccc1,Safe,0
9759,CHEMBL622,3308,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,toxic_cardio+toxic_gastro+toxic_neuro,0
9932,CHEMBL1086440,50248,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,CSc1nc2cc(Cl)c(Oc3cccc(Cl)c3Cl)cc2[nH]1,Safe,0
3763,CHEMBL1167,15541,CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12,CN[C@H]1[C@@H](O)[C@@H](NC)[C@H](O)[C@H]2O[C@@H]3O[C@H](C)CC(=O)[C@]3(O)O[C@H]12,Safe,0
8876,CHEMBL1998966,9570475,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,C/C(=N\O)c1ccc(OCC(=O)N2CCCCC2)cc1,Safe,1
4348,CHEMBL1229908,9363,CCN(CC)C(=O)c1ccc(O)c(OC)c1,CCN(CC)C(=O)c1ccc(O)c(OC)c1,Safe,0
7585,CHEMBL831,3964,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,Safe,0
5450,CHEMBL229128,4059,Cc1ccccc1OCC(O)CO,Cc1ccccc1OCC(O)CO,Safe,0
6358,CHEMBL870,2088,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,Safe,0
7905,CHEMBL483254,6918837,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,Safe,0
5225,CHEMBL515914,16574,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,Safe,1
8660,CHEMBL460291,5311217,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,Safe,0
7633,CHEMBL254316,54671008,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,Safe,0
7080,CHEMBL601,137,NCC(=O)CCC(=O)O,NCC(=O)CCC(=O)O,Safe,0
10137,CHEMBL711,4760,O=C1c2ccccc2C(=O)C1c1ccccc1,O=C1c2ccccc2C(=O)C1c1ccccc1,Safe,0
6825,CHEMBL376897,missing,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,C[N+]1(C)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,Safe,0
8178,CHEMBL2110948,11018,C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1,C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1,Safe,0
4513,CHEMBL1533,40973,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,Safe,0
4281,CHEMBL1619528,4832,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,CC[N+]1(C)CCCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,Safe,0
7469,CHEMBL562,441140,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,Safe,0
10625,CHEMBL941,5291,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Safe,0
10653,CHEMBL61,10607,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC,Safe,0
9750,CHEMBL448,4737,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,Safe,1
8121,CHEMBL1410743,31264,CC1OC(C)OC(C)O1,CC1OC(C)OC(C)O1,Safe,0
2719,CHEMBL218650,6480466,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,Safe,0
3558,CHEMBL3137320,135565082,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,Safe,0
8007,CHEMBL639,2267,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,Safe,0
4232,CHEMBL1874750,5282459,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC,COc1cc(/C=C/C(=O)N2CCN(CC(=O)N3CCCC3)CC2)cc(OC)c1OC,Safe,1
2680,CHEMBL1200737,452110,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@](=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)OC[C@H](CO[P@](=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,Safe,0
2371,CHEMBL1626223,708857,CN1CCCN=C1/C=C/c1cccs1,CN1CCCN=C1/C=C/c1cccs1,Safe,0
4615,CHEMBL81,5035,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,toxic_neuro+toxic_respiratory+toxic_vascular,0
1075,CHEMBL2374220,67505836,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,COC(=O)N[C@H](C(=O)N1CC2(CC2)C[C@H]1c1nc(-c2ccc3c(c2)C(F)(F)c2cc(-c4ccc5[nH]c([C@@H]6[C@H]7CC[C@H](C7)N6C(=O)[C@@H](NC(=O)OC)C(C)C)nc5c4)ccc2-3)c[nH]1)C(C)C,Safe,0
4743,CHEMBL1479848,11310,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,Safe,0
7911,CHEMBL113178,105024,C[Se]CC[C@H](N)C(=O)O,C[Se]CC[C@H](N)C(=O)O,Safe,0
3061,CHEMBL1574,4771,CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1ccccc1,Safe,0
8721,CHEMBL243712,2159,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,Safe,0
