,Identifier,smiles,withdrawn
32,DB00146,C(O)(CCC[C@H]([C@@H]1[C@@]2([C@H](/C(=C/C=C3\C(=C)CC[C@H](O)C\3)/CCC2)CC1)C)C)(C)C,0
33,DB00148,C(N(CC(=O)O)C)(=N)N,0
34,DB00150,C(=O)([C@H](Cc1c2c(cccc2)[nH]c1)N)O,1
35,DB00151,C(=O)([C@H](CS)N)O,0
36,DB00153,C1(/C(=C\C=C2\[C@H]3[C@@]([C@@H]([C@@H](/C=C/[C@@H](C(C)C)C)C)CC3)(CCC\2)C)/C[C@@H](O)CC1)=C,0
37,DB00156,C(=O)([C@H]([C@H](O)C)N)O,0
38,DB00157,C(=O)(C1=CN(C=CC1)[C@@H]2O[C@@H]([C@@H](O)[C@H]2O)CO[P@](=O)(O[P@](=O)(OC[C@H]3O[C@@H](n4c5c(c(ncn5)N)nc4)[C@H](O)[C@@H]3O)O)O)N,0
39,DB00158,C(=O)(c1ccc(NCc2nc3C(=O)N=C(Nc3nc2)N)cc1)N[C@H](C(=O)O)CCC(=O)O,0
40,DB00159,C(=O)(O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,0
41,DB00161,C(=O)([C@H](C(C)C)N)O,0
42,DB00162,C(/C=C/C1=C(CCCC1(C)C)C)(=C\C=C\C(=C\CO)\C)\C,0
43,DB00163,c12c(c(c(c(c1CC[C@](O2)(CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)C)C)O)C)C,0
44,DB00165,c1(c(c(cnc1C)CO)CO)O,0
45,DB00166,C(=O)(O)CCCC[C@H]1SSCC1,0
46,DB00169,C1(/C(=C\C=C2\[C@H]3[C@@]([C@@H]([C@@H](CCCC(C)C)C)CC3)(CCC\2)C)/C[C@@H](O)CC1)=C,0
47,DB00170,O=C1c2c(C(=O)C=C1C)cccc2,0
48,DB00173,c12c(c(ncn1)N)[nH]cn2,0
49,DB00174,C(=O)([C@H](CC(=O)N)N)O,0
50,DB00175,C(=O)(O[C@@H]1[C@H]2C(C=C[C@@H]([C@@H]2CC[C@@H](O)C[C@@H](O)CC(=O)O)C)=C[C@@H](O)C1)[C@H](CC)C,0
51,DB00176,C(=N/OCCN)(\c1ccc(C(F)(F)F)cc1)/CCCCOC,0
