,smiles,ChEMBL_ID,SUM,withdrawn_0.5,withdrawn_1.0,withdrawn_1.5,withdrawn_2.0,withdrawn_2.5,withdrawn_3.0,standardized_smiles,scaffolds
10,C(=O)(NCCCS(=O)(=O)O)C,CHEMBL1201293,0.0,0,0,0,0,0,0,CC(=O)NCCCS(=O)(=O)O,CC(C)CCCCC(C)(C)C
11,O=C[C@@H]([C@H]([C@H](O[C@H]1O[C@@H]([C@@H](O[C@H]2O[C@@H]([C@@H](N[C@H]3C=C([C@@H](O)[C@H](O)[C@H]3O)CO)[C@H](O)[C@H]2O)C)[C@H](O)[C@H]1O)CO)[C@H](O)CO)O)O,CHEMBL1566,0.0,0,0,0,0,0,0,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,CCC(C)C(C)C(CC1CC(CC)C(CC2CC(C)C(CC3CC(CC)C(C)C(C)C3C)C(C)C2C)C(C)C1C)C(C)CC
12,C(=O)(c1c(OCC(O)CNC(C)C)ccc(NC(=O)CCC)c1)C,CHEMBL642,0.0,0,0,0,0,0,0,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,CCCC(C)CC1CCC(CCC(C)CCC(C)C)C(C(C)C)C1
13,C(=O)(OC1C2CCN(C1)CC2)C,CHEMBL20835,0.0,0,0,0,0,0,0,CC(=O)OC1CN2CCC1CC2,CC(C)CC1CC2CCC1CC2
14,C(=O)(OCC(=O)O)Cc1c(Nc2c(Cl)cccc2Cl)cccc1,CHEMBL93645,0.0,0,0,0,0,0,0,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,CC(C)CCC(C)CC1CCCCC1CC1C(C)CCCC1C
15,C(=O)(OCC(=O)O)Cc1c2c(n(C(=O)c3ccc(Cl)cc3)c1C)ccc(OC)c2,CHEMBL189171,0.0,0,0,0,0,0,0,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CCC1CCC2C(C1)C(CC(C)CCC(C)C)C(C)C2C(C)C1CCC(C)CC1
16,C(=O)(CC(C1C(=O)Oc2c(C=1O)cccc2)c3ccc([N+](=O)[O-])cc3)C,CHEMBL397420,0.0,0,0,0,0,0,0,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,CC(C)CC(C1CCC(C(C)C)CC1)C1C(C)CC2CCCCC2C1C
17,C(=O)(Nc1ccc(O)cc1)C,CHEMBL112,0.0,0,0,0,0,0,0,CC(=O)Nc1ccc(O)cc1,CC(C)CC1CCC(C)CC1
19,C(=O)(Nc1nnc(S(=O)(=O)N)s1)C,CHEMBL20,0.0,0,0,0,0,0,0,CC(=O)Nc1nnc(S(N)(=O)=O)s1,CC(C)CC1CCC(C(C)(C)C)C1
21,C(=O)(NS(=O)(=O)c1ccc(C(=O)C)cc1)NC2CCCCC2,CHEMBL1589,1.0,1,1,0,0,0,0,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CC(CC1CCCCC1)CC(C)(C)C1CCC(C(C)C)CC1
22,C(=O)(NO)C,CHEMBL734,0.0,0,0,0,0,0,0,CC(=O)NO,CCC(C)C
23,C(=O)(c1cc2c(Sc3c(N2CCCN4CCN(CCO)CC4)cccc3)cc1)C,CHEMBL1085,0.5,1,0,0,0,0,0,CC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,CCCC1CCC(CCCC2C3CCCCC3CC3CCC(C(C)C)CC32)CC1
24,C(=O)(c1c(I)c(c(I)cc1I)NC(=O)C)O,CHEMBL1201327,1.5,1,1,1,0,0,0,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,CC(C)CC1C(C)CC(C)C(C(C)C)C1C
25,C(N(S(=O)(=O)c1ccc(cc1)N)c2c(c(no2)C)C)(=O)C,CHEMBL1200910,0.0,0,0,0,0,0,0,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,CC1CCC(C(C)(C)C(C(C)C)C2CCC(C)C2C)CC1
26,C(=O)(O[C@H](CC(=O)[O-])C[N+](C)(C)C)C,CHEMBL1697733,0.0,0,0,0,0,0,0,CC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,CC(C)CC(CC(C)C)CC(C)(C)C
27,C(=O)(OCC[N+](C)(C)C)C,CHEMBL667,0.0,0,0,0,0,0,0,CC(=O)OCC[N+](C)(C)C,CC(C)CCCC(C)(C)C
28,C(=O)([C@@H](NC(=O)C)CS)O,CHEMBL600,0.0,0,0,0,0,0,0,CC(=O)N[C@@H](CS)C(=O)O,CCC(CC(C)C)C(C)C
