chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,original_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,standardized_smiles,scaffolds,wd_consensus_1,wd_consensus_2,wd_consensus_3
CHEMBL1093,DB09009,C(=O)(OC)c1c(c(cs1)C)NC(=O)C(NCCC)C,C(=O)(OC)c1c(c(cs1)C)NC(=O)C(NCCC)C,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,284.3793,0,,yes,yes,0,0,0,AD,CCCNC(C)C(=O)Nc1c(C)csc1C(=O)OC,CCCCC(C)C(C)CC1C(C)CCC1C(C)CC,0,0,0
CHEMBL1094,DB00949,C(=O)(OCC(c1ccccc1)COC(=O)N)N,C(=O)(OCC(c1ccccc1)COC(=O)N)N,NC(=O)OCC(COC(N)=O)c1ccccc1,238.24468,0,,yes,yes,0,0,1,AD,NC(=O)OCC(COC(N)=O)c1ccccc1,CC(C)CCC(CCC(C)C)C1CCCCC1,1,0,0
CHEMBL1094636,DB11793,C(=O)(c1c2c(cn(-c3ccc(cc3)[C@H]4CNCCC4)n2)ccc1)N,C(=O)(c1c2c(cn(-c3ccc(cc3)C4CNCCC4)n2)ccc1)N,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,320.3965,0,,yes,yes,0,0,0,AD,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12,CC(C)C1CCCC2CC(C3CCC(C4CCCCC4)CC3)CC21,0,0,0
CHEMBL1094966,DB01291,C(NCC(c1nc(c(O)cc1)CO)O)(C)(C)C,C(NCC(c1nc(c(O)cc1)CO)O)(C)(C)C,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,240.3042,0,,yes,yes,0,0,0,AD,CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,CCC1CC(C(C)CCC(C)(C)C)CCC1C,0,0,0
CHEMBL1094982,DB08949,C(=O)(OC1[C@@H](OC(=O)c2cnccc2)[C@@H](OC(=O)c3cnccc3)[C@H](OC(=O)c4cnccc4)[C@@H](OC(=O)c5cnccc5)[C@@H]1OC(=O)c6cnccc6)c7cnccc7,C(=O)(OC1C(OC(=O)c2cnccc2)C(OC(=O)c3cnccc3)C(OC(=O)c4cnccc4)C(OC(=O)c5cnccc5)C1OC(=O)c6cnccc6)c7cnccc7,O=C(O[C@H]1[C@H](OC(=O)C2=CC=CN=C2)[C@@H](OC(=O)C2=CC=CN=C2)[C@H](OC(=O)C2=CC=CN=C2)[C@H](OC(=O)C2=CC=CN=C2)[C@@H]1OC(=O)C1=CC=CN=C1)C1=CC=CN=C1,810.7383,2,Mw; NO,yes,yes,1,,0,DISCONT,O=C(O[C@H]1[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2cccnc2)[C@@H](OC(=O)c2cccnc2)[C@H]1OC(=O)c1cccnc1)c1cccnc1,CC(CC1C(CC(C)C2CCCCC2)C(CC(C)C2CCCCC2)C(CC(C)C2CCCCC2)C(CC(C)C2CCCCC2)C1CC(C)C1CCCCC1)C1CCCCC1,0,0,0
CHEMBL1095,DB00754,O=C1N(C(=O)NC1c2ccccc2)CC,O=C1N(C(=O)NC1c2ccccc2)CC,CCN1C(=O)NC(c2ccccc2)C1=O,204.22994,0,,yes,yes,0,0,0,AD,CCN1C(=O)NC(c2ccccc2)C1=O,CCC1C(C)CC(C2CCCCC2)C1C,0,0,0
CHEMBL1095097,DB00700,C(=O)(OC)[C@H]1[C@@H]2[C@]3([C@@]4(C(=CC(=O)CC4)C1)C)O[C@@H]3C[C@@]5([C@@]6(OC(=O)CC6)CC[C@H]52)C,C(=O)(OC)C1C2C3(C4(C(=CC(=O)CC4)C1)C)OC3CC5(C6(OC(=O)CC6)CCC52)C,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,414.5019,0,,yes,yes,0,0,0,AD,COC(=O)[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@@]23O[C@@H]2C[C@@]2(C)[C@@H](CC[C@@]24CCC(=O)O4)[C@H]13,CCC(C)C1CC2CC(C)CCC2(C)C23CC2CC2(C)C(CCC24CCC(C)C4)C13,0,0,0
CHEMBL1095282,DB01489,C(N(C)C)(=O)OC1C(=O)N(c2c(C(c3ccccc3)=N1)cc(Cl)cc2)C,C(N(C)C)(=O)OC1C(=O)N(c2c(C(c3ccccc3)=N1)cc(Cl)cc2)C,CN(C)C(=O)OC1N=C(C2=CC=CC=C2)C2=C(C=CC(Cl)=C2)N(C)C1=O,371.82566,0,,yes,yes,experimental; illicit,,1,,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,CC1CCC2C(C)C(C)C(CC(C)C(C)C)CC(C3CCCCC3)C2C1,1,0,0
CHEMBL1095283,,C(=O)(Oc1ccccc1)C(C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(S[C@@H]32)(C)C)c4ccccc4,C(=O)(Oc1ccccc1)C(C(=O)NC2C(=O)N3C(C(=O)O)C(SC32)(C)C)c4ccccc4,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,454.50444,0,,no,yes,,0,0,,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O,CC(C)C1C2C(C)C(CC(C)C(C(C)CC3CCCCC3)C3CCCCC3)C2CC1(C)C,0,0,0
CHEMBL1095607,,O=C1c2c(ncn2CCCNCC(c3cc(O)cc(O)c3)O)N(C(=O)N1C)C,O=C1c2c(ncn2CCCNCC(c3cc(O)cc(O)c3)O)N(C(=O)N1C)C,Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,389.41361,0,,no,yes,,0,0,,Cn1c(=O)c2c(ncn2CCCNCC(O)c2cc(O)cc(O)c2)n(C)c1=O,CC1CC(C)CC(C(C)CCCCCC2CCC3C(C)C(C)C(C)C(C)C23)C1,0,0,0
