,chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,original_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class
403,CHEMBL1201255,DB06788,C(=O)(N1[C@H](C(=O)NCC)CCC1)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2NC(=O)CC2)Cc3nc[nH]c3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)Cc7ncn(c7)Cc8ccccc8)CC(C)C)CCCNC(=N)N,C(=O)(N1C(C(=O)NCC)CCC1)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2NC(=O)CC2)Cc3nc[nH]c3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)Cc7ncn(c7)Cc8ccccc8)CC(C)C)CCCNC(=N)N,CC(O)=O.CC(O)=O.CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC1=CN(CC2=CC=CC=C2)C=N1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,1323.53142,3,Hb; Mw; NO,yes,yes,0,,0.0,AD
404,CHEMBL1201256,DB00662,C(=O)(c1cc(OC)c(OC)c(OC)c1)NCc2ccc(OCCN(C)C)cc2,C(=O)(c1cc(OC)c(OC)c(OC)c1)NCc2ccc(OCCN(C)C)cc2,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,388.46666,0,,yes,yes,0,0.0,0.0,AD
405,CHEMBL1201260,DB00217,C(=N/C)(\NCc1ccccc1)/NC,C(=NC)(NCc1ccccc1)NC,C/N=C(\NC)NCc1ccccc1,177.25065,0,,yes,yes,0,0.0,0.0,AD
406,CHEMBL1201261,DB09340,C(=O)(C(Cc1c(I)c(c(I)cc1I)NC(=O)CCC)CC)O,C(=O)(C(Cc1c(I)c(c(I)cc1I)NC(=O)CCC)CC)O,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,641.02686,2,Mw; LP,yes,yes,0,0.0,0.0,AD
407,CHEMBL1201262,DB00449,C(C(C)(C)C)(=O)Oc1c(OC(C(C)(C)C)=O)ccc(C(O)CNC)c1,C(C(C)(C)C)(=O)Oc1c(OC(C(C)(C)C)=O)ccc(C(O)CNC)c1,CNCC(O)c1ccc(OC(=O)C(C)(C)C)c(OC(=O)C(C)(C)C)c1,351.44573,0,,yes,yes,0,0.0,0.0,AD
408,CHEMBL1201263,DB00769,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)[C@@H](O)C2)CC1)C)O)CN(CC)CC,C(=O)(OCC(=O)C1(C2(C(C3C(C4(C(=CC(=O)CC4)CC3)C)C(O)C2)CC1)C)O)CN(CC)CC,CCN(CC)CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,475.62957,0,,yes,yes,0,0.0,0.0,AD
409,CHEMBL1201264,DB00940,C(=O)(OCC[N+](CC)(CC)C)C1c2c(Oc3c1cccc3)cccc2,C(=O)(OCC[N+](CC)(CC)C)C1c2c(Oc3c1cccc3)cccc2,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,340.44522,0,,yes,yes,0,0.0,0.0,AD
410,CHEMBL1201265,DB14644,C(=O)(OCC(=O)[C@@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)C=C4)[C@H](C3)C)C)[C@@H](O)C2)CC1)C)O)CCC(=O)O,C(=O)(OCC(=O)C1(C2(C(C3C(C4(C(=CC(=O)C=C4)C(C3)C)C)C(O)C2)CC1)C)O)CCC(=O)O,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12,474.55478,0,,yes,yes,0,0.0,0.0,AD
411,CHEMBL1201266,DB06794,C(#N)c1cc(c(Cl)c(NC(C(=O)O)=O)c1)NC(C(=O)O)=O,C(#N)c1cc(c(Cl)c(NC(C(=O)O)=O)c1)NC(C(=O)O)=O,N#Cc1cc(NC(=O)C(=O)O)c(Cl)c(NC(=O)C(=O)O)c1,311.63942,0,,yes,yes,0,0.0,0.0,AD
412,CHEMBL1201269,DB01556,C(Cc1ccc(Cl)cc1)(N)(C)C,C(Cc1ccc(Cl)cc1)(N)(C)C,CC(C)(N)Cc1ccc(Cl)cc1,183.68228,0,,yes,yes,1,1.0,1.0,WD
413,CHEMBL1201270,DB06799,N12CN3CN(C1)CN(C2)C3,N12CN3CN(C1)CN(C2)C3,C1N2CN3CN1CN(C2)C3,140.18904,0,,yes,yes,0,0.0,0.0,AD
414,CHEMBL1201271,DB00354,C(c1ccc(cc1)CN2CCN(C(c3ccc(Cl)cc3)c4ccccc4)CC2)(C)(C)C,C(c1ccc(cc1)CN2CCN(C(c3ccc(Cl)cc3)c4ccccc4)CC2)(C)(C)C,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,433.04021,1,LP,yes,yes,0,0.0,0.0,AD
415,CHEMBL1201273,DB06814,c12c(OCO1)ccc(c2)CC(NCC(c3cc(c(O)cc3)O)O)C,c12c(OCO1)ccc(c2)CC(NCC(c3cc(c(O)cc3)O)O)C,CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,331.37087,0,,yes,yes,0,0.0,0.0,AD
416,CHEMBL1201274,DB00195,O(c1ccc(cc1)CCOCC2CC2)C[C@@H](O)CNC(C)C,O(c1ccc(cc1)CCOCC2CC2)CC(O)CNC(C)C,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1,307.43583,0,,yes,yes,0,0.0,0.0,AD
417,CHEMBL1201275,,C(c1c(S(=O)(=O)O)ccc(S(=O)(=O)[O-])c1)(c2ccc(N(CC)CC)cc2)=C3C=CC(=[N+](CC)CC)C=C3,C(c1c(S(=O)(=O)O)ccc(S(=O)(=O)[O-])c1)(c2ccc(N(CC)CC)cc2)=C3C=CC(=[N+](CC)CC)C=C3,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)[O-])ccc2S(=O)(=O)O)cc1,544.69254,1,Mw,no,yes,,0.0,0.0,
418,CHEMBL1201281,DB07565,C(=O)(OC[C@H]([C@@H](c1ccc([N+](=O)[O-])cc1)O)NC(=O)C(Cl)Cl)CCC(=O)O,C(=O)(OCC(C(c1ccc([N+](=O)[O-])cc1)O)NC(=O)C(Cl)Cl)CCC(=O)O,O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,423.20862,0,,yes,yes,0,0.0,0.0,AD
419,CHEMBL1201283,DB00781,C(=O)([C@H]([C@H](O)C)NC(=O)[C@@H](NC(=O)CCCCC(CC)C)CCN)N[C@H](C(=O)N[C@@H]1C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC1)[C@H](O)C)CCN)CCN)CC(C)C)Cc2ccccc2)CCN)CCN,C(=O)(C(C(O)C)NC(=O)C(NC(=O)CCCCC(CC)C)CCN)NC(C(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC1)C(O)C)CCN)CCN)CC(C)C)Cc2ccccc2)CCN)CCN,[H][C@]1(NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCNC1=O)NC(=O)[C@H](CCN)NC(=O)[C@@H](NC(=O)[C@H](CCN)NC(=O)CCCCC(C)CC)[C@@H](C)O)[C@@H](C)O,1203.50206,3,Hb; Mw; NO,yes,yes,0,,0.0,AD
420,CHEMBL1201284,DB01012,C(F)(F)(F)c1cc(ccc1)CCCN[C@@H](c2c3c(ccc2)cccc3)C,C(F)(F)(F)c1cc(ccc1)CCCNC(c2c3c(ccc2)cccc3)C,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,357.42144,1,LP,yes,yes,0,0.0,0.0,AD
421,CHEMBL1201286,DB00219,C(C(c1ccccc1)(O)C2CCCCC2)(=O)OCC[N+](CC)(CC)C,C(C(c1ccccc1)(O)C2CCCCC2)(=O)OCC[N+](CC)(CC)C,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,348.50898,0,,yes,yes,0,0.0,0.0,AD
422,CHEMBL1201287,DB00405,N(CC[C@H](c1ncccc1)c2ccc(Br)cc2)(C)C,N(CCC(c1ncccc1)c2ccc(Br)cc2)(C)C,CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1,319.25143,0,,yes,yes,0,0.0,0.0,AD
423,CHEMBL1201288,DB01219,N(/N1C(=O)NC(=O)C1)=C\c2oc(-c3ccc([N+](=O)[O-])cc3)cc2,N(N1C(=O)NC(=O)C1)=Cc2oc(-c3ccc([N+](=O)[O-])cc3)cc2,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,314.2589,0,,yes,yes,0,0.0,0.0,AD
424,CHEMBL1201289,,C(=O)(O[C@H]1[C@@H](SC)O[C@H]([C@@H]([C@@H](Cl)C)NC(=O)[C@H]2N(C[C@H](CCC)C2)C)[C@H](O)[C@@H]1O)CCCCCCCCCCCCCCC,C(=O)(OC1C(SC)OC(C(C(Cl)C)NC(=O)C2N(CC(CCC)C2)C)C(O)C1O)CCCCCCCCCCCCCCC,CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](O)[C@@H](O)[C@@H]([C@H](NC(=O)[C@@H]2C[C@@H](CCC)CN2C)[C@H](C)Cl)O[C@@H]1SC,663.40631,1,Mw,no,yes,,0.0,0.0,
425,CHEMBL1201291,DB09313,C(N(c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(=O)O)c2I)c(I)c(C(=O)NC)c1I)C)(=O)C,C(N(c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(=O)O)c2I)c(I)c(C(=O)NC)c1I)C)(=O)C,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I,1268.88647,3,Hb; Mw; NO,yes,yes,0,0.0,0.0,AD
426,CHEMBL1201293,DB00659,C(=O)(NCCCS(=O)(=O)O)C,C(=O)(NCCCS(=O)(=O)O)C,CC(=O)NCCCS(=O)(=O)O,181.21147,0,,yes,yes,0,0.0,0.0,AD
427,CHEMBL1201294,DB01081,C(C(c1ccccc1)(c2ccccc2)CCN3CCC(C(=O)OCC)(c4ccccc4)CC3)#N,C(C(c1ccccc1)(c2ccccc2)CCN3CCC(C(=O)OCC)(c4ccccc4)CC3)#N,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1,452.60024,0,,yes,yes,0,0.0,0.0,AD
428,CHEMBL1201295,DB00901,C(=O)(Oc1c(OC(=O)c2ccc(cc2)C)ccc(C(O)CNC(C)(C)C)c1)c3ccc(cc3)C,C(=O)(Oc1c(OC(=O)c2ccc(cc2)C)ccc(C(O)CNC(C)(C)C)c1)c3ccc(cc3)C,Cc1ccc(C(=O)Oc2ccc(C(O)CNC(C)(C)C)cc2OC(=O)c2ccc(C)cc2)cc1,461.56157,0,,yes,yes,1,0.0,0.0,DISCONT
429,CHEMBL1201300,DB09133,C(=O)(c1c(I)c(C(=O)O)c(I)c(c1I)NC(=O)C)NC,C(=O)(c1c(I)c(C(=O)O)c(I)c(c1I)NC(=O)C)NC,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,613.91683,1,Mw,yes,yes,0,0.0,0.0,AD
430,CHEMBL1201301,DB06796,C(=O)([O-])CN(Cc1c(c(nc(c1)COP(=O)(O)O)C)O)CCN(CC(=O)[O-])Cc2c(c(nc(c2)COP(=O)(O)O)C)O,C(=O)([O-])CN(Cc1c(c(nc(c1)COP(=O)(O)O)C)O)CCN(CC(=O)[O-])Cc2c(c(nc(c2)COP(=O)(O)O)C)O,[Mn++].CC1=C(O)C(CN(CCN(CC([O-])=O)CC2=CC(COP(O)(O)=O)=NC(C)=C2O)CC([O-])=O)=CC(COP(O)(O)=O)=N1,636.4493,3,Hb; Mw; NO,yes,yes,1,0.0,0.0,DISCONT
431,CHEMBL1201303,DB06816,N(c1cc2c([n+](c(/C=C/c3c(n(-c4ccccc4)c(c3)C)C)cc2)C)cc1)(C)C,N(c1cc2c([n+](c(C=Cc3c(n(-c4ccccc4)c(c3)C)C)cc2)C)cc1)(C)C,Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,382.53186,0,,yes,yes,0,0.0,0.0,AD
432,CHEMBL1201304,,O=S(=O)([O-])CCCC[N+]1c2c(c3c(cc2)cccc3)C(C=1/C=C/C=C/C=C/C=C4/C(c5c6c(ccc5N/4CCCCS(=O)(=O)O)cccc6)(C)C)(C)C,O=S(=O)([O-])CCCC[N+]1=C(C(c2c3c(ccc21)cccc3)(C)C)C=CC=CC=CC=C4C(c5c6c(ccc5N4CCCCS(=O)(=O)O)cccc6)(C)C,CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,752.99766,2,Mw; LP,no,yes,,0.0,0.0,
433,CHEMBL1201308,,Ic1ccc(cc1)CC(NC(C)C)C,Ic1ccc(cc1)CC(NC(C)C)C,CC(C)NC(C)Cc1ccc(I)cc1,303.18736,0,,no,yes,,0.0,0.0,
434,CHEMBL1201309,DB00666,C(=O)(N1[C@H](C(=O)NCC(=O)N)CCC1)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2NC(=O)CC2)Cc3nc[nH]c3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)Cc7cc8c(cc7)cccc8)CC(C)C)CCCNC(=N)N,C(=O)(N1C(C(=O)NCC(=O)N)CCC1)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2NC(=O)CC2)Cc3nc[nH]c3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)Cc7cc8c(cc7)cccc8)CC(C)C)CCCNC(=N)N,CC(C)C[C@H](NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,1322.50021,3,Hb; Mw; NO,yes,yes,0,,0.0,AD
435,CHEMBL1201313,DB04837,C(c1c(Cl)cccc1)(c2ccccc2)(O)CCN(C)C,C(c1c(Cl)cccc1)(c2ccccc2)(O)CCN(C)C,CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,289.8072,0,,yes,yes,1,0.0,0.0,DISCONT
436,CHEMBL1201314,DB01610,C(=O)(OCC(OCn1c2c(C(=O)N=C(N2)N)nc1)CO)[C@H](C(C)C)N,C(=O)(OCC(OCn1c2c(C(=O)N=C(N2)N)nc1)CO)C(C(C)C)N,CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)[nH]c(N)nc21,354.36794,2,Hb; NO,yes,yes,0,0.0,0.0,AD
437,CHEMBL1201317,DB06753,C(Cl)(Cl)(Cl)COP(=O)(O)O,C(Cl)(Cl)(Cl)COP(=O)(O)O,O=P(O)(O)OCC(Cl)(Cl)Cl,229.38448,0,,yes,yes,1,0.0,0.0,DISCONT
438,CHEMBL1201319,DB00610,c1([C@H]([C@@H](N)C)O)cc(O)ccc1,c1(C(C(N)C)O)cc(O)ccc1,C[C@H](N)[C@H](O)c1cccc(O)c1,167.20901,0,,yes,yes,0,0.0,0.0,AD
439,CHEMBL1201320,DB00736,O=[S@](c1nc2c(ccc(OC)c2)[nH]1)Cc3c(c(OC)c(cn3)C)C,O=S(c1nc2c(ccc(OC)c2)[nH]1)Cc3c(c(OC)c(cn3)C)C,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,345.42243,0,,yes,yes,0,0.0,0.0,AD
440,CHEMBL1201321,DB01501,C(C(c1ccccc1)(c2ccccc2)CCN3CCC(C(=O)O)(c4ccccc4)CC3)#N,C(C(c1ccccc1)(c2ccccc2)CCN3CCC(C(=O)O)(c4ccccc4)CC3)#N,N#CC(CCN1CCC(C(=O)O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,424.54616,0,,yes,yes,0,0.0,0.0,AD
441,CHEMBL1201322,DB09552,N(c1ncccn1)(Cc2ccc(OC)cc2)CC[N+](CCCCCCCCCCCCCCCC)(C)C,N(c1ncccn1)(Cc2ccc(OC)cc2)CC[N+](CCCCCCCCCCCCCCCC)(C)C,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1,511.81975,1,Mw,yes,yes,0,0.0,0.0,AD
442,CHEMBL1201323,DB00272,c1(ccn[nH]1)CCN,c1(ccn[nH]1)CCN,NCCc1cc[nH]n1,111.14733,0,,yes,yes,0,0.0,0.0,AD
443,CHEMBL1201325,DB06787,C(c1ccccc1)(O)(C2CCCCC2)CN3CC[N+](CC3)(C)C,C(c1ccccc1)(O)(C2CCCCC2)CN3CC[N+](CC3)(C)C,C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,317.49781,0,,yes,yes,0,0.0,0.0,AD
444,CHEMBL1201327,DB09347,C(=O)(c1c(I)c(c(I)cc1I)NC(=O)C)O,C(=O)(c1c(I)c(c(I)cc1I)NC(=O)C)O,CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,556.86462,1,Mw,yes,yes,1,0.0,0.0,DISCONT
445,CHEMBL1201328,DB01038,C(=O)(c1cc2c(Sc3c(N2CCCN4CCN(CCO)CC4)cccc3)cc1)CC,C(=O)(c1cc2c(Sc3c(N2CCCN4CCN(CCO)CC4)cccc3)cc1)CC,CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2,425.59637,0,,yes,yes,1,0.0,0.0,DISCONT
446,CHEMBL1201329,DB01116,O=C1N(C2C(N1Cc3ccccc3)C[S+]4C2CCC4)Cc5ccccc5,O=C1N(C2C(N1Cc3ccccc3)C[S+]4C2CCC4)Cc5ccccc5,O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,365.52025,1,LP,yes,yes,0,0.0,0.0,AD
447,CHEMBL1201334,DB06825,C(=O)(N1[C@H](C(=O)NCC(=O)N)CCC1)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H]2NC(=O)CC2)Cc3nc[nH]c3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)Cc7c8c(cccc8)[nH]c7)CC(C)C)CCCNC(=N)N,C(=O)(N1C(C(=O)NCC(=O)N)CCC1)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2NC(=O)CC2)Cc3nc[nH]c3)Cc4c5c(cccc5)[nH]c4)CO)Cc6ccc(O)cc6)Cc7c8c(cccc8)[nH]c7)CC(C)C)CCCNC(=N)N,CC(C)C[C@H](NC(=O)[C@@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,1311.47674,3,Hb; Mw; NO,yes,yes,0,0.0,0.0,AD
448,CHEMBL1201335,DB00986,C(C(c1ccccc1)(O)C2CCCC2)(=O)OC3C[N+](CC3)(C)C,C(C(c1ccccc1)(O)C2CCCC2)(=O)OC3C[N+](CC3)(C)C,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,318.43896,0,,yes,yes,0,0.0,0.0,AD
449,CHEMBL1201336,DB01320,O=P(OCN1C(=O)C(c2ccccc2)(c3ccccc3)NC1=O)(O)O,O=P(OCN1C(=O)C(c2ccccc2)(c3ccccc3)NC1=O)(O)O,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1COP(=O)(O)O,362.28075,0,,yes,yes,0,0.0,0.0,AD
450,CHEMBL1201338,DB00979,C(=O)(OCCN(C)C)C(c1ccccc1)C2(O)CCCC2,C(=O)(OCCN(C)C)C(c1ccccc1)C2(O)CCCC2,CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1,291.39285,0,,yes,yes,0,0.0,0.0,AD
451,CHEMBL1201340,DB13720,C(c1ccccc1)(c2ccccc2)=C3CC[N+](CC3)(C)C,C(c1ccccc1)(c2ccccc2)=C3CC[N+](CC3)(C)C,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,278.41998,0,,yes,yes,1,0.0,0.0,DISCONT
