,chembl_id,drugbank_id,canonical_smiles_ap,canonical_smiles_ap_nonstereo,orginal_smiles,mw_ap,rule_of_5,rule_of_5_label,in_drugbank,in_chembl,wd_drugbank,wd_chembl,wd_withdrawn,drugbank_three_class,sum,wd_consensus_1,wd_consensus_2,wd_consensus_3,standardized_smiles,scaffolds,test_train
2076,CHEMBL849,DB08604,O(c1c(Cl)cc(Cl)cc1)c2c(O)cc(Cl)cc2,O(c1c(Cl)cc(Cl)cc1)c2c(O)cc(Cl)cc2,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,289.54679,1,LP,yes,yes,0,0.0,,AD,0,0,0,0,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,CC1CCC(CC2CCC(C)CC2C)C(C)C1,train
2078,CHEMBL852,DB01042,C(=O)([C@H](Cc1ccc(N(CCCl)CCCl)cc1)N)O,C(=O)(C(Cc1ccc(N(CCCl)CCCl)cc1)N)O,N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,305.20596,0,,yes,yes,0,0.0,,AD,0,0,0,0,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,CCCC(CCC)C1CCC(CC(C)C(C)C)CC1,train
2081,CHEMBL856,DB00794,O=C1C(C(=O)NCN1)(c2ccccc2)CC,O=C1C(C(=O)NCN1)(c2ccccc2)CC,CCC1(c2ccccc2)C(=O)NCNC1=O,218.25697999999997,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCC1(c2ccccc2)C(=O)NCNC1=O,CCC1(C2CCCCC2)C(C)CCCC1C,train
2051,CHEMBL818,DB06704,C(=NCc1cc(I)ccc1)(N)N,C(=NCc1cc(I)ccc1)(N)N,N=C(N)NCc1cccc(I)c1,275.0926,0,,yes,yes,0,0.0,,AD,0,0,0,0,NC(N)=NCc1cccc(I)c1,CC(C)CCC1CCCC(C)C1,train
2082,CHEMBL857,DB00121,C(=O)(O)CCCC[C@@H]1SC[C@H]2[C@@H]1NC(=O)N2,C(=O)(O)CCCCC1SCC2C1NC(=O)N2,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,244.31412000000003,0,,yes,yes,0,0.0,,AD,0,0,0,0,O=C(O)CCCCC1SCC2NC(=O)NC21,CC(C)CCCCC1CCC2CC(C)CC12,train
2083,CHEMBL858,DB00974,C(=O)(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,C(=O)(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,292.24712,0,,yes,yes,0,,,AD,0,0,0,0,C(=O)(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,CC(C)CCCCC1CCC2CC(C)CC12,train
2084,CHEMBL86,DB01233,C(=O)(c1c(OC)cc(c(Cl)c1)N)NCCN(CC)CC,C(=O)(c1c(OC)cc(c(Cl)c1)N)NCCN(CC)CC,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,299.80264,0,,yes,yes,0,0.0,,AD,0,0,0,0,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCC(CC)CCCC(C)C1CC(C)C(C)CC1CC,train
2085,CHEMBL862,DB01018,C(=O)(NC(=N)N)Cc1c(Cl)cccc1Cl,C(=O)(NC(=N)N)Cc1c(Cl)cccc1Cl,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,246.09713,0,,yes,yes,0,0.0,,AD,0,0,0,0,N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,CC(C)CC(C)CC1C(C)CCCC1C,train
2086,CHEMBL863,DB00151,C(=O)([C@H](CS)N)O,C(=O)(C(CS)N)O,N[C@@H](CS)C(=O)O,121.15858999999999,0,,yes,yes,0,0.0,,AD,0,0,0,0,NC(CS)C(=O)O,CCC(C)C(C)C,train
2087,CHEMBL86304,DB01171,C(=O)(c1ccc(Cl)cc1)NCCN2CCOCC2,C(=O)(c1ccc(Cl)cc1)NCCN2CCOCC2,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,268.74499,0,,yes,yes,0,0.0,,AD,0,0,0,0,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,CC1CCC(C(C)CCCC2CCCCC2)CC1,train
