,chembl_id,smiles
1618,CHEMBL2068884,O=C([O-])[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O.[Na+]
1645,CHEMBL2106119,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]
1674,CHEMBL3707281,CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Mg+2]
1693,CHEMBL3989529,CCCCCCCC/C=C\CCCCCCCC(=O)O.NCCO
1706,CHEMBL1187,O=P(O)(O)O
1721,CHEMBL1200664,CC(O)C(=O)[O-].[K+]
1799,CHEMBL1353,O=C([O-])O.[Na+]
1805,CHEMBL1749,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Na+].[Na+]
1813,CHEMBL3040581,O=P(O)(O)OCC([O-])C[O-].[Na+].[Na+]
1820,CHEMBL2106978,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[K+]
1839,CHEMBL1200800,CC(=O)[O-].CC(=O)[O-].[Ca+2]
1875,CHEMBL71595,OO
1906,CHEMBL2096637,C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(\C)C(=O)OC)C2(C)C)CC1=O.C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O
1935,CHEMBL1201170,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Li+].[Li+].[Li+]
1949,CHEMBL1200826,O=C([O-])[O-].[Li+].[Li+]
1951,CHEMBL1200458,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+]
1952,CHEMBL1357,CC(O)C(=O)[O-].[Na+]
1957,CHEMBL692,OCC(O)CO
2018,CHEMBL3989480,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Mg+2].[Mg+2].[Mg+2]
2031,CHEMBL3304484,CCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCC.CCCCCCCC(=O)OCC(O)CO.CCCCCCCCCC(=O)OCC(O)CO
2046,CHEMBL1200375,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+]
2079,CHEMBL3833361,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O
2080,CHEMBL573,O=C(O)c1cccnc1
2097,CHEMBL1200691,CC(=O)[O-].CC(=O)[O-].[Mg+2]
2126,CHEMBL2106123,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2]
2129,CHEMBL2364968,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O.CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12.CCC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
2138,CHEMBL261772,C=C1c2c(Cl)ccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.O=C(O)c1cc(S(=O)(=O)O)ccc1O
2141,CHEMBL282468,C[N+](C)(C)CCO.[Cl-]
