,atc_code,chembl_id
189,D11AX11,CHEMBL537
190,R06AX17,CHEMBL534
191,S01GX08,CHEMBL534
192,L04AA32,CHEMBL514800
193,L01XK01,CHEMBL521686
194,L01AA02,CHEMBL515
195,C09AA08,CHEMBL515606
196,R06AX02,CHEMBL516
197,C01BA03,CHEMBL517
198,C08CA10,CHEMBL517427
199,C01CA10,CHEMBL524
200,C01BD05,CHEMBL533
201,A03AB12,CHEMBL524004
202,N07XX59,CHEMBL52440
203,R05DA09,CHEMBL52440
204,M01AC01,CHEMBL527
205,M02AA07,CHEMBL527
206,S01BC06,CHEMBL527
207,J01FA10,CHEMBL529
208,S01AA26,CHEMBL529
209,N04BC07,CHEMBL53
210,G04BE07,CHEMBL53
211,S01AA17,CHEMBL532
212,J01FA01,CHEMBL532
213,D10AF02,CHEMBL532
214,D10AF52,CHEMBL532
215,D01AE16,CHEMBL489411
216,L01AA09,CHEMBL487253
217,N02AA59,CHEMBL485
218,N02AA79,CHEMBL485
219,R05DA04,CHEMBL485
220,J01EB05,CHEMBL453
221,S01AB02,CHEMBL453
222,N03AA01,CHEMBL45029
223,L01CX01,CHEMBL450449
224,A07AA02,CHEMBL450895
225,D01AA01,CHEMBL450895
226,G01AA01,CHEMBL450895
227,G01AA51,CHEMBL450895
228,N05BA02,CHEMBL451
229,N03AE01,CHEMBL452
230,L01CB02,CHEMBL452231
231,J01FA02,CHEMBL453514
232,C01EB09,CHEMBL454801
233,S01AB04,CHEMBL455
234,D10AF06,CHEMBL455
235,N05CC01,CHEMBL455917
236,C03CC01,CHEMBL456
237,J04AK02,CHEMBL44884
238,D11AH06,CHEMBL484785
239,J01DD02,CHEMBL44354
240,N01AF03,CHEMBL441
241,N05CA19,CHEMBL441
242,A05BA08,CHEMBL441687
243,N02CA72,CHEMBL442
244,N02CA02,CHEMBL442
245,N02CA52,CHEMBL442
246,J01EC01,CHEMBL443
247,D01AE24,CHEMBL443052
248,R02AA12,CHEMBL443605
249,J04AB04,CHEMBL444633
250,N06AA10,CHEMBL445
251,J01EB03,CHEMBL446
252,D03AX12,CHEMBL446061
253,J02AX05,CHEMBL457547
254,C02AB01,CHEMBL459
255,L01XJ01,CHEMBL473417
256,C01DA55,CHEMBL466659
257,C01DA05,CHEMBL466659
258,L01XX05,CHEMBL467
259,G03XC02,CHEMBL46740
260,C07AA07,CHEMBL471
261,C01EB17,CHEMBL471737
262,A10BB01,CHEMBL472
263,J01DC05,CHEMBL474579
264,C08CA08,CHEMBL475534
265,L01EX03,CHEMBL477772
266,A02BC03,CHEMBL480
267,A02BC53,CHEMBL480
268,L01CE02,CHEMBL481
269,N05AG01,CHEMBL46516
270,N02BG06,CHEMBL465026
271,A04AD10,CHEMBL465
272,D11AX02,CHEMBL464982
273,D11AX52,CHEMBL464982
274,D05AC51,CHEMBL46469
275,D05AC01,CHEMBL46469
276,V04CH30,CHEMBL463
277,N07XX11,CHEMBL462605
278,B02BX05,CHEMBL461101
279,N01BX01,CHEMBL46058
280,C08CA09,CHEMBL460291
281,L01AB03,CHEMBL460282
282,N05AE02,CHEMBL460
283,A04AA01,CHEMBL46
284,S01EX05,CHEMBL4594250
285,M03AA02,CHEMBL339427
