,chembl_id,atc_code
329,CHEMBL539,G01AD02
330,CHEMBL539,S02AA10
333,CHEMBL53904,N05AF02
334,CHEMBL53904,N05AF05
336,CHEMBL539697,B01AE07
338,CHEMBL54,N05AD01
340,CHEMBL535,L01EX01
342,CHEMBL550348,V03AC03
344,CHEMBL551978,A03AD02
346,CHEMBL553,L01EB02
348,CHEMBL553025,L01CA04
350,CHEMBL537,D11AX11
352,CHEMBL534,R06AX17
353,CHEMBL534,S01GX08
356,CHEMBL514800,L04AA32
358,CHEMBL521686,L01XK01
360,CHEMBL515,L01AA02
362,CHEMBL515606,C09AA08
364,CHEMBL516,R06AX02
366,CHEMBL517,C01BA03
368,CHEMBL517427,C08CA10
370,CHEMBL524,C01CA10
372,CHEMBL533,C01BD05
374,CHEMBL524004,A03AB12
375,CHEMBL52440,R05DA09
376,CHEMBL52440,N07XX59
378,CHEMBL527,M01AC01
379,CHEMBL527,M02AA07
380,CHEMBL527,S01BC06
384,CHEMBL529,J01FA10
385,CHEMBL529,S01AA26
386,CHEMBL53,G04BE07
387,CHEMBL53,N04BC07
390,CHEMBL532,D10AF02
391,CHEMBL532,J01FA01
392,CHEMBL532,S01AA17
396,CHEMBL532,D10AF52
397,CHEMBL489411,D01AE16
399,CHEMBL487253,L01AA09
401,CHEMBL485,N02AA59
402,CHEMBL485,N02AA79
403,CHEMBL485,R05DA04
404,CHEMBL453,J01EB05
405,CHEMBL453,S01AB02
408,CHEMBL45029,N03AA01
410,CHEMBL450449,L01CX01
411,CHEMBL450895,A07AA02
412,CHEMBL450895,D01AA01
413,CHEMBL450895,G01AA01
414,CHEMBL450895,G01AA51
415,CHEMBL451,N05BA02
416,CHEMBL452,N03AE01
418,CHEMBL452231,L01CB02
419,CHEMBL453514,J01FA02
420,CHEMBL454801,C01EB09
422,CHEMBL455,D10AF06
423,CHEMBL455,S01AB04
426,CHEMBL455917,N05CC01
428,CHEMBL456,C03CC01
430,CHEMBL44884,J04AK02
432,CHEMBL484785,D11AH06
434,CHEMBL44354,J01DD02
435,CHEMBL441,N01AF03
436,CHEMBL441,N05CA19
437,CHEMBL441687,A05BA08
438,CHEMBL442,G02AB02
439,CHEMBL442,N02CA02
440,CHEMBL442,N02CA72
442,CHEMBL442,N02CA52
443,CHEMBL443,J01EC01
445,CHEMBL443052,D01AE24
447,CHEMBL443605,R02AA12
449,CHEMBL444633,J04AB04
450,CHEMBL445,N06AA10
452,CHEMBL446,J01EB03
454,CHEMBL446061,D03AX12
456,CHEMBL457547,J02AX05
458,CHEMBL459,C02AB01
460,CHEMBL473417,L01XJ01
462,CHEMBL466659,A06AD14
463,CHEMBL466659,C01DA05
464,CHEMBL466659,C01DA55
466,CHEMBL467,L01XX05
468,CHEMBL46740,G03XC02
469,CHEMBL471,C07AA07
471,CHEMBL471737,C01EB17
473,CHEMBL472,A10BB01
475,CHEMBL474579,J01DC05
476,CHEMBL475534,C08CA08
478,CHEMBL477772,L01EX03
479,CHEMBL480,A02BC03
481,CHEMBL480,A02BC53
482,CHEMBL481,L01CE02
484,CHEMBL46516,N05AG01
486,CHEMBL465026,N02BG06
488,CHEMBL465,A04AD10
490,CHEMBL464982,D11AX02
492,CHEMBL464982,D11AX52
493,CHEMBL46469,D05AC01
494,CHEMBL46469,D05AC51
496,CHEMBL463,V04CH30
498,CHEMBL462605,N07XX11
500,CHEMBL461101,B02BX05
501,CHEMBL46058,N01BX01
