,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,9.245018768310548,0.14154241104998955,0.19908595085144043,0.0023735871439759288,1000,5,2,sqrt,10,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.48336943410171473,0.3026886072112026,0.3447933111140995,0.5194671824797195,0.4874292101602311,0.4275495490133935,0.08670540286667028,30
1,17.68785390853882,0.23496791296616468,0.36641440391540525,0.002797025209014413,1800,2,2,auto,87,True,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 87, 'bootstrap': True}",0.46236303596548745,0.29384783670592785,0.37695088973197804,0.5224172909815862,0.465311059429733,0.42417802256294246,0.0800216661296491,41
2,4.070054388046264,0.038808068197496506,0.08750720024108886,0.0028446797178765994,400,2,1,auto,65,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 65, 'bootstrap': True}",0.4318794067099966,0.2928801656009449,0.35929790522005856,0.520169015150996,0.46110898350498714,0.41306709523739665,0.07933318497450462,70
3,5.41047511100769,0.12410073189884807,0.08852205276489258,0.0009464431629170975,400,5,2,log2,65,False,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 65, 'bootstrap': False}",0.43623623126952105,0.29453766099493384,0.35929745274698616,0.5522416775992257,0.4576815285059252,0.4199989102233184,0.08786008403857379,50
4,8.825293588638306,0.23776830000095356,0.13018341064453126,0.005355968172690193,600,2,2,auto,,False,"{'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}",0.4381222316847604,0.2782889969586715,0.35273524760850034,0.5313712240641602,0.4798690873862103,0.41607735754046055,0.09038350749244627,62
5,20.527181959152223,0.4978266909768616,0.2946052074432373,0.0054575396012374105,1400,2,2,auto,76,False,"{'n_estimators': 1400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 76, 'bootstrap': False}",0.43974026244977815,0.2900067102692614,0.35980847106323816,0.5411500773097498,0.4865099072857429,0.4234430856755541,0.08938969548759114,42
6,21.093248271942137,0.4805458603363538,0.2923909664154053,0.0011616561733097646,1400,10,1,auto,65,False,"{'n_estimators': 1400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 65, 'bootstrap': False}",0.41942993980015997,0.2803688367950412,0.3551963801381846,0.5078122512570087,0.4607412265326592,0.4047097269046107,0.07987311513562934,95
7,7.604059076309204,0.19814081835950567,0.12613530158996583,0.0028014558481176187,600,10,2,log2,54,False,"{'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 54, 'bootstrap': False}",0.4318053990941804,0.282685575152021,0.3549643187733387,0.5306630032450889,0.4594635862364439,0.41191637650021456,0.08567521068915143,72
8,1.8810999870300293,0.04978111223759729,0.04408321380615234,0.0009515496738854114,200,2,2,auto,110,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 110, 'bootstrap': True}",0.4543068157250308,0.2967347012136155,0.3686543763240962,0.5124195075840063,0.45452971876751175,0.4173290239228521,0.07577025914561145,58
9,1.6979644775390625,0.023311774174570137,0.045125389099121095,0.0012014147645839008,200,5,4,log2,54,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 54, 'bootstrap': True}",0.42803722680853007,0.28917734808702034,0.3817548089060203,0.5097277054878574,0.4461013335237353,0.4109596845626327,0.07343781333608573,77
10,26.838279008865356,0.5998815942176139,0.4614914894104004,0.06105992184632494,2000,5,2,log2,98,False,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 98, 'bootstrap': False}",0.443803344752537,0.28346993174326346,0.35168323603626744,0.5247325755993298,0.4554872577908719,0.41183526918445396,0.0845803555310654,73
11,1.9613574981689452,0.04936126452982185,0.04457497596740723,0.0007474084858669991,200,5,2,auto,65,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 65, 'bootstrap': True}",0.4616454844081732,0.2856134433793942,0.3604054234697252,0.5310170905931917,0.4637739375239109,0.420491075874879,0.08670104123516303,48
12,23.239384508132936,0.8237958186046794,0.38338847160339357,0.015073252121948117,1800,2,2,log2,43,False,"{'n_estimators': 1800, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 43, 'bootstrap': False}",0.43216247367869365,0.27992907621842306,0.35262697759483397,0.541631077453662,0.4550107930938476,0.41227207960789203,0.08947422474733312,71
13,17.130787515640257,0.36115451977938623,0.36088147163391116,0.0032285860673560056,1800,5,2,sqrt,,True,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.4700536729988242,0.2932425703301546,0.36694330843610723,0.5300354059025038,0.4776388194457127,0.42758275542266055,0.08547556590875531,29
