,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_scale_pos_weight,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,68.07110600471496,12.85988404589453,1.0746492385864257,0.4050559321651981,15,200,7,6,0.25,0.3,0.4,"{'scale_pos_weight': 15, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 6, 'learning_rate': 0.25, 'gamma': 0.3, 'colsample_bytree': 0.4}",0.27624678875586894,0.19195316471142268,0.1899904458436356,0.289055633463094,0.32294286356322,0.2540377792674483,0.0537102618500468,68
1,136.541898727417,33.52138872932097,1.2338529586791993,0.23698492277213642,20,500,5,4,0.25,0.0,0.4,"{'scale_pos_weight': 20, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.25, 'gamma': 0.0, 'colsample_bytree': 0.4}",0.2555329624642153,0.20881127291394586,0.20312977676358276,0.2770446947740353,0.2969108643247438,0.2482859142481046,0.03698999052749933,88
2,166.1874092102051,10.8086662734622,1.452941083908081,0.913798225484889,15,200,1,12,0.3,0.4,0.7,"{'scale_pos_weight': 15, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 12, 'learning_rate': 0.3, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.23556972158825631,0.23049513240977706,0.2086415886859655,0.3352094147581356,0.34655767544153404,0.2712947065767337,0.057647024884765904,13
3,93.36049709320068,6.948164304977688,1.105188751220703,0.31061901541289644,5,200,7,10,0.15,0.3,0.5,"{'scale_pos_weight': 5, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.15, 'gamma': 0.3, 'colsample_bytree': 0.5}",0.25958823960452176,0.20145459684852224,0.20557157014109217,0.24794047833439417,0.3056224964736288,0.24403547628043185,0.03832153940807862,96
4,113.52433462142945,14.771093690008428,0.9585551738739013,0.2971736310085675,15,300,1,4,0.05,0.0,0.4,"{'scale_pos_weight': 15, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.4}",0.260076557206073,0.217063209297254,0.2085492324293695,0.3078939851428239,0.3195696228321724,0.26263052138153853,0.04538398595099137,36
5,253.29338040351868,51.497484721276344,2.074555778503418,0.7952158745043303,35,500,1,4,0.05,0.3,0.5,"{'scale_pos_weight': 35, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.5}",0.2788883995576641,0.20283857086009735,0.19755239616433456,0.3474374634349028,0.3068436915026374,0.2667121043039272,0.05854619299078724,25
6,147.7455476284027,8.7289387891208,0.9629660606384277,0.2644961828851716,5,300,7,10,0.2,0.4,0.7,"{'scale_pos_weight': 5, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.23900803741639115,0.20913523552588922,0.21924147368617575,0.2657435417600523,0.32122096353413665,0.250869850384529,0.04013313023771315,79
7,162.90413165092468,25.036762256273235,1.6941569328308106,0.5406397595071346,15,500,7,12,0.25,0.2,0.5,"{'scale_pos_weight': 15, 'n_estimators': 500, 'min_child_weight': 7, 'max_depth': 12, 'learning_rate': 0.25, 'gamma': 0.2, 'colsample_bytree': 0.5}",0.26022659196796694,0.2020095315490366,0.20483498020164623,0.2839741008354415,0.32727521522696934,0.2556640839562121,0.04777622094608148,60
8,121.86814184188843,10.98773351752094,1.1602954864501953,0.19339995562258522,15,200,3,12,0.1,0.0,0.4,"{'scale_pos_weight': 15, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 12, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.4}",0.2671072891724846,0.21983154840503233,0.20534514836821935,0.3143819196513347,0.3249968792820688,0.26633255697582797,0.04823412066560775,27
9,71.8677212715149,8.042452209974202,1.4741760730743407,0.38748494104398257,10,300,7,3,0.05,0.4,0.3,"{'scale_pos_weight': 10, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.4, 'colsample_bytree': 0.3}",0.3037663454021445,0.24023688457163858,0.20402931827831103,0.3650375549985044,0.3385956161324688,0.29033314387661346,0.06008069853421266,3
10,172.78536853790283,20.108054703312554,1.114732599258423,0.2387558077397525,20,200,5,12,0.05,0.4,0.5,"{'scale_pos_weight': 20, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 12, 'learning_rate': 0.05, 'gamma': 0.4, 'colsample_bytree': 0.5}",0.31836233563900324,0.21404575138204174,0.21423941202488278,0.3017833857326968,0.3320549630500196,0.27609716956572883,0.05148623365987672,7
11,26.690047550201417,2.667960120082878,0.7081912517547607,0.19268578994254879,5,100,1,4,0.05,0.2,0.3,"{'scale_pos_weight': 5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.3}",0.2949730005445449,0.230989732954552,0.1925769888745324,0.3488600611111757,0.32351131996263627,0.2781822206894882,0.05811609289763694,5
