,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_scale_pos_weight,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1919.8218932628631,541.1390227316163,1.9749268531799316,0.21519200360749047,5,200,7,15,0.05,0.0,0.5,"{'scale_pos_weight': 5, 'n_estimators': 200, 'min_child_weight': 7, 'max_depth': 15, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.5}",0.3502926813829985,0.3452758777075833,0.3623518958978986,0.38740987271950866,0.3733602456481257,0.36373811467122297,0.015339445923047186,1
1,379.3774230480194,110.66659100124107,2.1458761215209963,0.7497302434421499,20,200,1,3,0.25,0.3,0.5,"{'scale_pos_weight': 20, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.25, 'gamma': 0.3, 'colsample_bytree': 0.5}",0.2905159169926428,0.30276191853897705,0.36127369226317513,0.336273521806691,0.3094523740898929,0.3200554847382758,0.025479579305115612,100
2,434.1443143844605,42.59027528356331,2.2987339973449705,0.8534559542437304,10,100,7,15,0.1,0.4,0.3,"{'scale_pos_weight': 10, 'n_estimators': 100, 'min_child_weight': 7, 'max_depth': 15, 'learning_rate': 0.1, 'gamma': 0.4, 'colsample_bytree': 0.3}",0.3443103246067284,0.3362078523456071,0.3643150362564782,0.3809725404649724,0.369483795825729,0.35905790989990305,0.016469389241164367,3
3,524.3879695892334,143.60194900122346,1.4052802562713622,0.2737157267832874,20,300,7,3,0.25,0.3,0.5,"{'scale_pos_weight': 20, 'n_estimators': 300, 'min_child_weight': 7, 'max_depth': 3, 'learning_rate': 0.25, 'gamma': 0.3, 'colsample_bytree': 0.5}",0.2944038652613403,0.3023482385486717,0.3459425392390406,0.33317625218874886,0.3313267093835063,0.3214395209242616,0.019653544223912214,99
4,1976.0742161750793,473.13107677584236,1.4015162467956543,0.2973319631699339,15,400,1,8,0.25,0.0,0.5,"{'scale_pos_weight': 15, 'n_estimators': 400, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.25, 'gamma': 0.0, 'colsample_bytree': 0.5}",0.3159111124212646,0.3283060834742957,0.34685261512268406,0.3696629746750574,0.3498153120446912,0.34210961954759855,0.018536237301245567,44
5,591.8730584621429,146.87675412623352,1.5050452709198,0.2704671397152026,15,400,7,4,0.3,0.0,0.3,"{'scale_pos_weight': 15, 'n_estimators': 400, 'min_child_weight': 7, 'max_depth': 4, 'learning_rate': 0.3, 'gamma': 0.0, 'colsample_bytree': 0.3}",0.3015729814094342,0.31059495145148663,0.34089569089224575,0.3460640654393826,0.3502936204850862,0.32988426193552706,0.019865475727872912,85
6,1645.367839050293,170.18022974171308,1.8760239124298095,1.006206945910917,20,500,5,5,0.05,0.4,0.7,"{'scale_pos_weight': 20, 'n_estimators': 500, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.3255600681287666,0.32077548247915466,0.3395256454143767,0.3700831674709556,0.34281571831560986,0.33975201636177266,0.01726810049728883,52
7,646.0388696193695,151.59805962438884,1.442025327682495,0.795227187994848,10,200,3,4,0.3,0.2,0.7,"{'scale_pos_weight': 10, 'n_estimators': 200, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.3, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.2975696980490994,0.31065183957029374,0.35187686877850366,0.3593985175506335,0.32575092477716155,0.3290495697451384,0.023590184697325167,88
8,748.1989043235778,264.2529301024166,1.7676485538482667,0.5956804118868192,10,100,3,10,0.2,0.2,0.7,"{'scale_pos_weight': 10, 'n_estimators': 100, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.31495377970259014,0.32508435388474943,0.33733201583110806,0.3553586078273772,0.3465647016408976,0.33585869177734445,0.01449232736865434,68
9,590.887920999527,57.78598929725181,1.2412516593933105,0.5763222901240983,35,400,5,5,0.25,0.3,0.3,"{'scale_pos_weight': 35, 'n_estimators': 400, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.25, 'gamma': 0.3, 'colsample_bytree': 0.3}",0.3194111893656727,0.3290562249524279,0.32848438994296125,0.3447680360382689,0.3525058398446651,0.33484513602879923,0.012021162137568434,73
10,302.21027002334597,88.15133839782376,1.522360134124756,0.6777136112113903,15,100,1,6,0.15,0.1,0.4,"{'scale_pos_weight': 15, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 6, 'learning_rate': 0.15, 'gamma': 0.1, 'colsample_bytree': 0.4}",0.308504516225553,0.3301603751707206,0.3430454077452235,0.36630116162731263,0.3355846664080004,0.33671922543536204,0.01873759369960229,64
11,1275.819325876236,208.56978625573333,1.4576066493988038,0.7259673980226297,35,500,1,5,0.05,0.3,0.5,"{'scale_pos_weight': 35, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 0.5}",0.3143617754051984,0.3096749714629724,0.3393832603683183,0.3603770873132023,0.3375406636060694,0.3322675516311522,0.01843706331226428,78
